Reference	LeftContext	Pivot	RightContext
1_m00362-plain	oxígeno. Marshy Pinkey (1985) describieron el proceso piloto para	el_ART_el cultivo_NC_cultivo de_PREP_de Fusarium_NP_Fusarium graminearum_NC_graminearum que_CQUE_que se_SE_se utilizó_VLfin_utilizar para_PREP_para la_ART_el producción_NC_producción	de microproteína xxx. Como ya se ha discutido (véase Capítulo
1_m00362-plain	induce por la presencia de manano. Por ello, extracto de	levadura_NC_levadura es_VSfin_ser el_ART_el sustrato_NC_sustrato que_CQUE_que habitualmente_ADV_habitual se_SE_se utiliza_VLfin_utilizar como_CSUBX_como fuente_NC_fuente	de nitrógeno en la fermentación destinada a la obtención de aquel antibiótico
1_m00362-plain	que tenga un efecto critico en el control de la fermentación.	Los_ART_el parámetros_NC_parámetro que_CQUE_que más_ADV_más frecuentemente_ADV_frecuente|frecuentemente se_SE_se utilizan_VLfin_utilizar para_PREP_para el_ART_el seguimiento_NC_seguimiento	de la alimentación son la concentración de oxígeno disuelto y el pH
1_m00457-plain	compuestos de tres átomos de carbono. Sin embargo, existen dos	tipos_NC_tipo de_PREP_de compuestos_NC_compuesto que_CQUE_que se_SE_se utilizan_VLfin_utilizar como_CSUBX_como sustrato_NC_sustrato	del crecimiento microbiano que tienen un interés biotecnológico especial. Son los
1_m00545-plain	Esto hace que muchas áreas fascinantes queden sin ser cubiertas, como	la_ART_el idea_NC_idea de_PREP_de que_CQUE_que el_ART_el RNA_NP_RNA fuera_VSfin_ser utilizado_VLadj_utilizar como_CSUBX_como la_ART_el molécula_NC_molécula	de información primaria antes de ser sustituido por el DNA, o
1_m00664-plain	cierra repetidamente mediante la unión de iones metálicos a la proteína.	Los_ART_el interruptores_NC_interruptor de_PREP_de este_DM_este tipo_NC_tipo podrían_VMfin_poder servir_VLinf_servir para_PREP_para la_ART_el toma_NC_toma	continua de medidas con biosensores. La sustitución de cinco aminoácidos diversos
1_m00680-plain	. La mayoría de las células, si no todas, fabrican	una_ART_un serie_NC_serie de_PREP_de proteínas_NC_proteína que_CQUE_que se_SE_se utilizan_VLfin_utilizar como_CSUBX_como armas_NC_arma	autodestructivas. Mientras una célula es útil para el cuerpo, la
1_m00731-plain	de DNA: típicamente a 70-75° C. Algunos microorganismos cuyo	hábitat_NC_hábitat natural_ADJ_natural son_VSfin_ser las_ART_el fuentes_NC_fuente hidrotermales_ADJ_hidrotermal han_VHfin_haber servido_VLadj_servir como_CSUBX_como base_NC_base	para la purificación de DNA polimerasas termoestables. Por ejemplo, la
1_m00731-plain	empleo de cebadores encajados (nested primers). Los productos de	la_ART_el amplificación_NC_amplificación inicial_ADJ_inicial se_SE_se diluyen_VLfin_diluir y_CC_y son_VSfin_ser utilizados_VLadj_utilizar como_CSUBX_como DNA_NC_dna	diana para una segunda reacción en la que se utiliza un juego
1_m00731-plain	. Este mRNA se pasa a cDNA utilizando transcriptasa inversa, y	el_ART_el cDNA_NC_cdna así_ADV_así obtenido_VLadj_obtener se_SE_se utiliza_VLfin_utilizar como_CSUBX_como sustrato_NC_sustrato	para una reacción de PCR. Esta versión de la reacción estándar
1_m00731-plain	las células sanguíneas, y esto permite su conversión a cDNA.	El_ART_el cDNA_NC_cdna puede_VMfin_poder ser_VSinf_ser utilizado_VLadj_utilizar como_CSUBX_como molde_NC_molde	en una reacción de PCR con pares de cebadores específicos de exones
1_m00731-plain	que generen la secuencia de aminoácidos deseada. La mezcla resultante de	oligonucleótidos_NC_oligonucleótidos parcialmente_ADV_parcial degenerados_VLadj_degenerar se_SE_se marca_VLfin_marcar y_CC_y se_SE_se usa_VLfin_usar como_CSUBX_como sonda_NC_sonda	para cribar bibliotecas de cDNA. Como sólo uno de los oligonucleótidos
1_m00731-plain	de purificación de proteínas. El producto purificado permitió la producción de	oligonucleótidos_NC_oligonucleótidos específicos_ADJ_específico del_PDEL_del len_ADJ_len que_CQUE_que fueron_VSfin_ser utilizados_VLadj_utilizar como_CSUBX_como sonda_NC_sonda	para el cribado de bibliotecas. Cuando se emplean mezclas complejas de
1_m00731-plain	partir de esta información se preparó un oligonucleótido parcialmente degenerado de 45	bp_NC_bp,_CM_, que_CQUE_que fue_VSfin_ser utilizado_VLadj_utilizar como_CSUBX_como sonda_NC_sonda	de hibridación primaria para el cribado de una biblioteca de DNA genómico
1_m00731-plain	a la secuencia de Trp18 a Met22. Una vez aislado,	el_ART_el clon_NC_clon genómico_ADJ_genómico del_PDEL_del factor_NC_factor VIII_CARD_VIII porcino_ADJ_porcino fue_VSfin_ser utilizado_VLadj_utilizar como_CSUBX_como sonda_NC_sonda	para cribar bibliotecas de DNA humano a fin de identificar el gen
1_m00731-plain	mediante PCR. Clonación por homología basada en hibridación. Se marca	el_ART_el clon_NC_clon de_PREP_de DNA_NC_dna y_CC_y se_SE_se usa_VLfin_usar como_CSUBX_como sonda_NC_sonda	de hibridación para cribar bibliotecas genómicas o de cDNA. Un clon
1_m00731-plain	células del sistema inmunitario, y constituyen una forma de vacunación.	Los_ART_el genes_NC_gen|genes humanos_ADJ_humano clonados_VLadj_clonar pueden_VMfin_poder ser_VSinf_ser utilizados_VLadj_utilizar como_CSUBX_como fuente_NC_fuente	de productos de importancia médica Una vez que se ha clonado un
