id,subid,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context,annotation,justification,comment,non sure,check,tags,inclusive,global_freq,exclusive
H01,H1_economy_16,left,"['tasa', 'depreciación', 'tasa de depreciación']",[None],la_ART_el tasa_NC_tasa de_PREP_de depreciación_NC_depreciación es_VSfin_ser un_ART_un determinante_NC_determinante,la tasa de depreciación es un determinante,"de esto, y como se podrá constatar más adelante, la tasa de depreciación es un determinanteimportante de la tasa de crecimiento de la economía, por lo",« OUI »,"OUI;L’un des deux éléments est un candidat-terme du domaine, l’autre élément appartient au lexique scientifique transdisciplinaire.","""determinant"" n'est pas dans le LST, mais ""determiner"" et ""determiné"" oui",False,,ART NC PREP NC VSfin ART NC,False,8,False
H01,H1_economy_17,right,[None],['familia'],el_ART_el agente_NC_agente representativo_ADJ_representativo es_VSfin_ser una_ART_un familia_NC_familia,el agente representativo es una familia,"A partir de Barro (1974), se supone que el agente representativo es una familiao un grupo de individuos vinculados unos con otros a través del",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,https://es.wikipedia.org/wiki/Agente_representativo  https://fr.wikipedia.org/wiki/Agent_repr%C3%A9sentatif_(%C3%A9conomie) ,False,,ART NC ADJ VSfin ART NC,False,11,False
H01,H1_economy_18,none,[None],[None],los_ART_el niños_NC_niño del_PDEL_del presente_ADJ_presente serán_VSfin_ser los_ART_el adultos_NC_adulto,los niños del presente serán los adultos,"aumentará las tasas de fertilidad en el futuro, puesto que los niños del presente serán los adultosque ganarán estos mayores salarios. Mayores salarios futuros, por lo",« NON »,NON;Le candidat-marqueur exprime une autre relation.,relation de association?,False,,ART NC PDEL ADJ VSfin ART NC,False,1,True
H01,H1_economy_19,both,['fertilidad'],['variables'],la_ART_el emigración_NC_emigración y_CC_y la_ART_el fertilidad_NC_fertilidad son_VSfin_ser variables_NC_variable,la emigración y la fertilidad son variables,donde se recogen ejemplos de modelos de crecimiento en los que la emigración y la fertilidad son variablesendógenas. Braun (1993) examina también modelos de migración y,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC CC ART NC VSfin NC,False,1,True
H01,H1_economy_20,both,"['estacionario', 'estado estacionario']",['supuesto'],el_ART_el estado_NC_estado estacionario_ADJ_estacionario es_VSfin_ser el_ART_el supuesto_NC_supuesto,el estado estacionario es el supuesto,. La razón intuitiva que explica la ausencia de crecimiento en el estado estacionario es el supuestode que los rendimientos del capital son decrecientes y se aproximan a,« NON »,"NON;L’un des deux éléments est un candidat-terme du domaine, l’autre élément est une nominalisation ou un groupe nominal n’appartenant pas au domaine.",contexte tres long,False,,ART NC ADJ VSfin ART NC,False,11,False
H01,H1_economy_21,left,"['transición', 'modelo']",[None],la_ART_el transición_NC_transición Un_ART_un aspecto_NC_aspecto importante_ADJ_importante del_PDEL_del modelo_NC_modelo es_VSfin_ser la_ART_el rapidez_NC_rapidez,la transición Un aspecto importante del modelo es la rapidez,a xxx. 2 Una medida cuantitativa de la duración de la transición Un aspecto importante del modelo es la rapidezcon la cual la economía alcanza el nuevo estado estacionario. Para,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC ART NC ADJ PDEL NC VSfin ART NC,False,1,True
H01,H1_economy_22,left,"['capital', 'físico', 'capital físico', 'participación del capital', 'participación del capital físico']",[None],la_ART_el participación_NC_participación del_PDEL_del capital_NC_capital físico_ADJ_físico es_VSfin_ser xxx_NP_xxx,la participación del capital físico es xxx,"que la velocidad de convergencia es igual a xxx. Si la participación del capital físico es xxxy la participación del capital humano xxx, la tasa relevante del",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,"on sait pas qu'est-ce qu'est  ""xxx""?",False,,ART NC PDEL NC ADJ VSfin NP,False,1,False
H01,H1_economy_23,both,"['utilidad', 'individuos']",['suma'],la_ART_el utilidad_NC_utilidad de_PREP_de los_ART_el individuos_NC_individuo es_VSfin_ser la_ART_el suma_NC_suma,la utilidad de los individuos es la suma,"población. La expresión (3. 1) indica que la utilidad de los individuos es la suma(es decir, la integral) de sus funciones instantáneas de",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,,False,,ART NC PREP ART NC VSfin ART NC,False,7,False
H01,H1_economy_24,left,['modelo'],[None],los_ART_el agentes_NC_agente del_PDEL_del modelo_NC_modelo son_VSfin_ser dinastías_NC_dinastía,los agentes del modelo son dinastías,"las herencias intergeneracionales. En este contexto, deberemos suponer que los agentes del modelo son dinastíaso familias, siendo el número de individuos pertenecientes a cada dinastía",« OUI »,OUI;Il y a une relation d'hyperonymie entre un CT que n'appartient pas au domaine et un CT dy LST,"agent;agente==""the person who does something or causes something to happen. """,False,,ART NC PDEL NC VSfin NC,True,1,False
H01,H1_economy_25,both,"['función', 'utilidad', 'función de utilidad']",['consumo'],el_ART_el argumento_NC_argumento de_PREP_de la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser el_ART_el consumo_NC_consumo,el argumento de la función de utilidad es el consumo,"cero. Condiciones análogas se aplican al trabajo. Obsérvese que el argumento de la función de utilidad es el consumoper cápita (c minúscula), mientras que en la restricción",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC PREP ART NC PREP NC VSfin ART NC,False,2,True
H01,H1_economy_26,both,"['propiedades', 'neoclásicas', 'propiedades neoclásicas']",['función'],las_ART_el propiedades_NC_propiedad neoclásicas_ADJ_neoclásico es_VSfin_ser la_ART_el función_NC_función,las propiedades neoclásicas es la función,"y 2, una función de producción bastante sencilla que satisface las propiedades neoclásicas es la funciónCobb-Douglas xxx. Esta función puede reescribirse en términos per cápita del",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,"X==""una función de producción [bastante sencilla que satisface las propiedades neoclásicas]""; Y==""la funciónCobb-Douglas xxx""",False,,ART NC ADJ VSfin ART NC,False,11,False
H01,H1_economy_27,none,[None],[None],el_ART_el consumidor_NC_consumidor es_VSfin_ser partidario_NC_partidario,el consumidor es partidario,"comportan trayectorias de consumo poco lisas. Por lo tanto, el consumidor es partidariode intercambiar parte de su consumo futuro por consumo presente. Esto",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",sans article,False,,ART NC VSfin NC,False,8,False
H01,H1_economy_28,left,['término'],[None],El_ART_el término_NC_término de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el beneficio_NC_beneficio,El término de la derecha es el beneficio,", representa el beneficio de consumir ahora [5]. El término de la derecha es el beneficioo rendimiento neto obtenido del ahorro y, por tanto, de",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC PREP ART NC VSfin ART NC,False,7,False
H01,H1_economy_29,right,[None],['tipo'],Una_ART_un pregunta_NC_pregunta a_PREP_a la_ART_el que_CQUE_que se_SE_se enfrentaron_VLfin_enfrentar fue_VSfin_ser el_ART_el tipo_NC_tipo,Una pregunta a la que se enfrentaron fue el tipo,"los economistas neoclásicos introdujeron el crecimiento exógeno de la productividad. Una pregunta a la que se enfrentaron fue el tipode progreso técnico que se debía introducir. En la práctica,",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",contexte tres long,False,,ART NC PREP ART CQUE SE VLfin VSfin ART NC,False,1,True
H01,H1_economy_30,left,"['modelo', 'neoclásico', 'progreso', 'modelo neoclásico', 'progreso técnico']",[None],El_ART_el modelo_NC_modelo neoclásico_ADJ_neoclásico con_PREP_con progreso_NC_progreso técnico_ADJ_técnico Es_VSfin_ser el_ART_el momento_NC_momento,El modelo neoclásico con progreso técnico Es el momento,"que las cosechas más recientes de capital son más productivas. El modelo neoclásico con progreso técnico Es el momentode regresar al progreso técnico potenciador del trabajo, que expresamos en",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",(sous)titre+contenu,False,,ART NC ADJ PREP NC ADJ VSfin ART NC,False,1,True
H01,H1_economy_31,left,"['función', 'utilidad', 'función de utilidad']",[None],la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser xxx_NP_xxx,la función de utilidad es xxx,". En primer lugar, la tasa efectiva de descuento de la función de utilidad es xxx, en lugar de ser xxx. En segundo lugar, la",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,,False,,ART NC PREP NC VSfin NP,False,3,True
H01,H1_economy_32,left,"['tasa', 'depreciación', 'tasa efectiva']",[None],la_ART_el tasa_NC_tasa efectiva_ADJ_efectivo de_PREP_de depreciación_NC_depreciación es_VSfin_ser xxx_NP_xxx,la tasa efectiva de depreciación es xxx,", en lugar de ser xxx. En segundo lugar, la tasa efectiva de depreciación es xxx, en lugar de xxx. Si dejamos de lado estas dos",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,,False,,ART NC ADJ PREP NC VSfin NP,False,1,False
H01,H1_economy_33,right,[None],['rendimiento'],El_ART_el miembro_NC_miembro de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el rendimiento_NC_rendimiento,El miembro de la derecha es el rendimiento,"futuro al presente para lograr así un consumo más liso. El miembro de la derecha es el rendimientode la inversión, que se reduce a la productividad marginal neta",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC PREP ART NC VSfin ART NC,False,7,False
H01,H1_economy_34,right,[None],['capital'],una_ART_un oferta_NC_oferta neta_ADJ_neto positiva_ADJ_positivo es_VSfin_ser el_ART_el capital_NC_capital,una oferta neta positiva es el capital,"economía cerrada sin gobierno, el único activo del que existe una oferta neta positiva es el capital, por lo cual, necesariamente xxx. Si sustituimos este resultado",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC ADJ ADJ VSfin ART NC,False,1,True
H01,H1_economy_35,left,['producción'],[None],la_ART_el producción_NC_producción agregada_VLadj_agregar vendrá_VLfin_venir dada_VLadj_dar por_PREP_por xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx,la producción agregada vendrá dada por xxx siendo xxx,"Si se utiliza una función de producción del tipo Cobb-Douglas, la producción agregada vendrá dada por xxx siendo xxx. Supondremos que cada individuo representa una parte muy reducida del tamaño",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,,False,,ART NC VLadj VLfin VLadj PREP NP VSger NP,False,1,False
H01,H1_economy_36,none,[None],[None],EL_ART_el Hamiltoniano_NP_Hamiltoniano será_VSfin_ser xxx_NP_xxx,EL Hamiltoniano será xxx,"consecuencia, se pueden aplicar las técnicas habituales de optimización. EL Hamiltoniano será xxxy las condiciones de primer orden que obtenemos son: xxx.",« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",le temps verbal (future) n'indique pas une certitude,False,,ART NP VSfin NP,False,1,True
H01,H1_economy_37,right,[None],['inversión'],la_ART_el experiencia_NC_experiencia era_VSfin_ser la_ART_el inversión_NC_inversión,la experiencia era la inversión,"productividad. También defendía que una buena medida del aumento de la experiencia era la inversión, debido a que "" cada máquina nueva que es producida y",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC VSfin ART NC,False,15,False
H01,H1_economy_38,both,['índice'],['inversión'],un_ART_un índice_NC_índice de_PREP_de experiencia_NC_experiencia es_VSfin_ser la_ART_el inversión_NC_inversión,un índice de experiencia es la inversión,"estímulos "" (p. 157). Esto implica que un índice de experiencia es la inversiónacumulada o, lo que es lo mismo, el stock de",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,contexte avec double CM,False,,ART NC PREP NC VSfin ART NC,False,8,False
H01,H1_economy_39,both,"['número', 'economía']",['número'],el_ART_el número_NC_número de_PREP_de empresas_NC_empresa de_PREP_de la_ART_el economía_NC_economía sea_VSfin_ser un_ART_un número_NC_número,el número de empresas de la economía sea un número,"en un modelo AK de crecimiento endógeno. Supongamos ahora que el número de empresas de la economía sea un númeromuy elevado xxx, constante. Puesto que xxx es grande,",« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",etre subjonctif,False,,ART NC PREP NC PREP ART NC VSfin ART NC,False,1,True
H01,H1_economy_40,left,"['unidad', 'escala']",[None],la_ART_el unidad_NC_unidad de_PREP_de escala_NC_escala relevante_ADJ_relevante sería_VSfin_ser el_ART_el área_NC_área,la unidad de escala relevante sería el área,"personajes de sangre azul. De acuerdo con el modelo, la unidad de escala relevante sería el áreaen la cual un determinado tipo de conocimiento se desborda. Es",« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",,False,,ART NC PREP NC ADJ VSfin ART NC,False,2,True
H01,H1_economy_41,both,"['efectos', 'escala', 'efectos de escala']",['supuesto'],los_ART_el efectos_NC_efecto de_PREP_de escala_NC_escala es_VSfin_ser el_ART_el supuesto_NC_supuesto,los efectos de escala es el supuesto,"vez mayor. Técnicamente, la razón que está detrás de los efectos de escala es el supuestode que la externalidad depende del volumen agregado de capital. Una",« NON »,"NON;L’un des deux éléments est un candidat-terme du domaine, l’autre élément est une nominalisation ou un groupe nominal n’appartenant pas au domaine.",,False,,ART NC PREP NC VSfin ART NC,False,8,False
H01,H1_economy_42,both,"['capital', 'físico', 'capital físico']",['bienes'],el_ART_el capital_NC_capital físico_ADJ_físico y_CC_y el_ART_el humano_ADJ_humano eran_VSfin_ser bienes_NC_bien,el capital físico y el humano eran bienes,"implícitos en nuestro argumento se apoyaba en el hecho de que el capital físico y el humano eran bienessimilares, en el sentido de que ambos podían ser acumulados a",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,X coordiné,False,,ART NC ADJ CC ART ADJ VSfin NC,True,2,False
H01,H1_economy_43,both,"['capital', 'físico', 'capital físico']",['bienes'],el_ART_el capital_NC_capital físico_ADJ_físico y_CC_y el_ART_el humano_ADJ_humano son_VSfin_ser bienes_NC_bien,el capital físico y el humano son bienes,"la misma tecnología. Sin embargo, se podría argumentar que el capital físico y el humano son bienescon unas propiedades enteramente diferenciadas. En particular, la función de",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,,False,,ART NC ADJ CC ART ADJ VSfin NC,True,2,False
H01,H1_economy_44,both,"['factores', 'producción', 'factores de producción']",['capital'],los_ART_el factores_NC_factor de_PREP_de producción_NC_producción son_VSfin_ser el_ART_el capital_NC_capital,los factores de producción son el capital,") parte de una función de producción Cobb-Douglas en la que los factores de producción son el capitalfísico y el humano, de modo que la producción viene dada",« NON »,NON;Le candidat-marqueur exprime une autre relation.,meronymie (partie de X son Y y Z),False,,ART NC PREP NC VSfin ART NC,False,8,False
H01,H1_economy_45,left,"['tasas', 'crecimiento', 'tasas de crecimiento']",[None],las_ART_el tasas_NC_tasa de_PREP_de crecimiento_NC_crecimiento son_VSfin_ser xxx_NP_xxx,las tasas de crecimiento son xxx,". Vemos que, en ausencia de externalidades, xxx, las tasas de crecimiento son xxx. Es interesante observar que esta expresión es similar a la tasa",« INCERTAINE »,INCERTAINE;Les deux éléments en relation n’appartiennent pas au domaine de l'économie.,,False,,ART NC PREP NC VSfin NP,False,3,True
H01,H1_economy_46,left,['crecimiento'],[None],el_ART_el crecimiento_NC_crecimiento es_VSfin_ser xxx_NP_xxx,el crecimiento es xxx,La única diferencia es que el parámetro de productividad relevante para el crecimiento es xxx(la productividad del sector educativo) en lugar de xxx (,« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,,False,,ART NC VSfin NP,False,1,False
H01,H1_economy_47,left,['más'],[None],los_ART_el descubrimientos_NC_descubrimiento más_ADV_más interesantes_ADJ_interesante es_VSfin_ser la_ART_el aparición_NC_aparición,los descubrimientos más interesantes es la aparición,"estado estacionario. AL margen de este hecho, uno de los descubrimientos más interesantes es la apariciónde un comportamiento asimétrico entre xxx y xxx: la tasa de",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,Patron: Uno de los X más adj es Y,False,,ART NC ADV ADJ VSfin ART NC,False,2,True
H01,H1_economy_48,both,['modelos'],['existencia'],El_ART_el elemento_NC_elemento común_ADJ_común de_PREP_de todos_QU_todo esos_DM_ese modelos_NC_modelo es_VSfin_ser la_ART_el existencia_NC_existencia,El elemento común de todos esos modelos es la existencia,relaciona con la tasa agregada de crecimiento de la economía. El elemento común de todos esos modelos es la existenciade empresas dedicadas a la investigación y el desarrollo (I +,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC ADJ PREP QU DM NC VSfin ART NC,False,1,True
H01,H1_economy_49,both,['resultado'],['progreso'],el_ART_el resultado_NC_resultado de_PREP_de la_ART_el cual_REL_cual es_VSfin_ser el_ART_el progreso_NC_progreso,el resultado de la cual es el progreso,"Se entabla pues una guerra tecnológica entre líderes y seguidores, el resultado de la cual es el progresotecnológico. Para modelos de escaleras de calidad y crecimiento, véase",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC PREP ART REL VSfin ART NC,False,2,True
H01,H1_economy_50,both,['parámetro'],['trabajo'],un_ART_un parámetro_NC_parámetro tecnológico_ADJ_tecnológico y_CC_y xxx_NP_xxx es_VSfin_ser el_ART_el trabajo_NC_trabajo,un parámetro tecnológico y xxx es el trabajo,"xxx siendo xxx los bienes intermedios de capital, xxx es un parámetro tecnológico y xxx es el trabajo. En otras palabras, la producción se obtiene a partir de",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,,False,,ART NC ADJ CC NP VSfin ART NC,False,1,False
H01,H1_economy_51,both,['bien'],['número'],el_ART_el bien_NC_bien que_CQUE_que se_SE_se acumula_VLfin_acumular es_VSfin_ser el_ART_el número_NC_número,el bien que se acumula es el número,"no es más que un modelo xxx, en el cual el bien que se acumula es el númerode bienes de capital xxx). Las empresas contratan el trabajo",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC CQUE SE VLfin VSfin ART NC,False,1,True
H01,H1_economy_52,left,['precio'],[None],el_ART_el precio_NC_precio de_PREP_de tales_QU_tal activos_NC_activo es_VSfin_ser un_ART_un margen_NC_margen,el precio de tales activos es un margen,"ecuación (9. 11) indica, pues, que el precio de tales activos es un margenconstante sobre el coste marginal, siendo el margen una función de",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",,False,,ART NC PREP QU NC VSfin ART NC,False,1,True
H01,H1_economy_53,both,['tecnología'],['bien'],El_ART_el motivo_NC_motivo es_VSfin_ser que_CQUE_que la_ART_el tecnología_NC_tecnología es_VSfin_ser un_ART_un bien_NC_bien,El motivo es que la tecnología es un bien,"en el capítulo 7, presenta un efecto de escala. El motivo es que la tecnología es un bienno rival: el coste de desarrollar un nuevo producto es independiente",« NON »,"NON;L’un des deux éléments est un candidat-terme du domaine, l’autre élément est une nominalisation ou un groupe nominal n’appartenant pas au domaine.",,False,,ART NC VSfin CQUE ART NC VSfin ART NC,False,1,True
