id,subid,topic,relational_semantic_type,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context,annotation,justification,tags,global_freq,full_global_freq,inclusive,exclusive,comment,non sure,check,global_freq_oui,global_freq_non
H01,H1_economy_15,economy,hyp_attributif,right,[None],['fuente'],las_ART_el actividades_NC_actividad de_PREP_de I_ALFS_I +_SYM_+ D_ALFS_D son_VSfin_ser una_ART_un fuente_NC_fuente,las actividades de I D son una fuente,"sido empleado en muchos trabajos por los economistas que creen que las actividades de I D son una fuenteimportante de crecimiento económico. En el capítulo 9, analizaremos un",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,ART NC PREP ALFS SYM ALFS VSfin ART NC,1,1,False,False,"""ID"" peut referir a une CT",False,,0,1
H01,H1_economy_16,economy,hyp_attributif,left,"['tasa', 'depreciación', 'tasa de depreciación']",[None],la_ART_el tasa_NC_tasa de_PREP_de depreciación_NC_depreciación es_VSfin_ser un_ART_un determinante_NC_determinante,la tasa de depreciación es un determinante,"de esto, y como se podrá constatar más adelante, la tasa de depreciación es un determinanteimportante de la tasa de crecimiento de la economía, por lo",« OUI »,"OUI;L’un des deux éléments est un candidat-terme du domaine, l’autre élément appartient au lexique scientifique transdisciplinaire.",ART NC PREP NC VSfin ART NC,14,37,False,False,"""determinant"" n'est pas dans le LST, mais ""determiner"" et ""determiné"" oui",False,,7,7
H01,H1_economy_17,economy,hyp_attributif,right,[None],['familia'],el_ART_el agente_NC_agente representativo_ADJ_representativo es_VSfin_ser una_ART_un familia_NC_familia,el agente representativo es una familia,"A partir de Barro (1974), se supone que el agente representativo es una familiao un grupo de individuos vinculados unos con otros a través del",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,ART NC ADJ VSfin ART NC,27,72,False,False,https://es.wikipedia.org/wiki/Agente_representativo  https://fr.wikipedia.org/wiki/Agent_repr%C3%A9sentatif_(%C3%A9conomie) ,False,,15,12
H01,H1_economy_18,economy,hyp_attributif,none,[None],[None],los_ART_el niños_NC_niño del_PDEL_del presente_ADJ_presente serán_VSfin_ser los_ART_el adultos_NC_adulto,los niños del presente serán los adultos,"aumentará las tasas de fertilidad en el futuro, puesto que los niños del presente serán los adultosque ganarán estos mayores salarios. Mayores salarios futuros, por lo",« NON »,NON;Le candidat-marqueur exprime une autre relation.,ART NC PDEL ADJ VSfin ART NC,1,1,False,True,relation de association?,False,,0,1
H01,H1_economy_19,economy,hyp_attributif,both,['fertilidad'],['variables'],la_ART_el emigración_NC_emigración y_CC_y la_ART_el fertilidad_NC_fertilidad son_VSfin_ser variables_NC_variable,la emigración y la fertilidad son variables,donde se recogen ejemplos de modelos de crecimiento en los que la emigración y la fertilidad son variablesendógenas. Braun (1993) examina también modelos de migración y,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC CC ART NC VSfin NC,2,4,False,True,,False,,0,2
H01,H1_economy_20,economy,hyp_attributif,both,"['estacionario', 'estado estacionario']",['supuesto'],el_ART_el estado_NC_estado estacionario_ADJ_estacionario es_VSfin_ser el_ART_el supuesto_NC_supuesto,el estado estacionario es el supuesto,. La razón intuitiva que explica la ausencia de crecimiento en el estado estacionario es el supuestode que los rendimientos del capital son decrecientes y se aproximan a,« NON »,"NON;L’un des deux éléments est un candidat-terme du domaine, l’autre élément est une nominalisation ou un groupe nominal n’appartenant pas au domaine.",ART NC ADJ VSfin ART NC,27,72,False,False,contexte tres long,False,,15,12
H01,H1_economy_21,economy,hyp_attributif,left,"['transición', 'modelo']",[None],la_ART_el transición_NC_transición Un_ART_un aspecto_NC_aspecto importante_ADJ_importante del_PDEL_del modelo_NC_modelo es_VSfin_ser la_ART_el rapidez_NC_rapidez,la transición Un aspecto importante del modelo es la rapidez,a xxx. 2 Una medida cuantitativa de la duración de la transición Un aspecto importante del modelo es la rapidezcon la cual la economía alcanza el nuevo estado estacionario. Para,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC ART NC ADJ PDEL NC VSfin ART NC,1,1,False,True,,False,,0,1
H01,H1_economy_22,economy,hyp_attributif,left,"['capital', 'físico', 'capital físico', 'participación del capital', 'participación del capital físico']",[None],la_ART_el participación_NC_participación del_PDEL_del capital_NC_capital físico_ADJ_físico es_VSfin_ser xxx_NP_xxx,la participación del capital físico es xxx,"que la velocidad de convergencia es igual a xxx. Si la participación del capital físico es xxxy la participación del capital humano xxx, la tasa relevante del",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,ART NC PDEL NC ADJ VSfin NP,1,1,False,False,"on sait pas qu'est-ce qu'est  ""xxx""?",False,,0,1
H01,H1_economy_23,economy,hyp_attributif,both,"['utilidad', 'individuos']",['suma'],la_ART_el utilidad_NC_utilidad de_PREP_de los_ART_el individuos_NC_individuo es_VSfin_ser la_ART_el suma_NC_suma,la utilidad de los individuos es la suma,"población. La expresión (3. 1) indica que la utilidad de los individuos es la suma(es decir, la integral) de sus funciones instantáneas de",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,ART NC PREP ART NC VSfin ART NC,11,21,False,False,,False,,1,10
H01,H1_economy_24,economy,hyp_attributif,left,['modelo'],[None],los_ART_el agentes_NC_agente del_PDEL_del modelo_NC_modelo son_VSfin_ser dinastías_NC_dinastía,los agentes del modelo son dinastías,"las herencias intergeneracionales. En este contexto, deberemos suponer que los agentes del modelo son dinastíaso familias, siendo el número de individuos pertenecientes a cada dinastía",« OUI »,OUI;Il y a une relation d'hyperonymie entre un CT que n'appartient pas au domaine et un CT dy LST,ART NC PDEL NC VSfin NC,2,2,True,False,"agent;agente==""the person who does something or causes something to happen. """,False,,1,1
H01,H1_economy_25,economy,hyp_attributif,both,"['función', 'utilidad', 'función de utilidad']",['consumo'],el_ART_el argumento_NC_argumento de_PREP_de la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser el_ART_el consumo_NC_consumo,el argumento de la función de utilidad es el consumo,"cero. Condiciones análogas se aplican al trabajo. Obsérvese que el argumento de la función de utilidad es el consumoper cápita (c minúscula), mientras que en la restricción",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP ART NC PREP NC VSfin ART NC,2,2,False,True,,False,,0,2
H01,H1_economy_26,economy,hyp_attributif,both,"['propiedades', 'neoclásicas', 'propiedades neoclásicas']",['función'],las_ART_el propiedades_NC_propiedad neoclásicas_ADJ_neoclásico es_VSfin_ser la_ART_el función_NC_función,las propiedades neoclásicas es la función,"y 2, una función de producción bastante sencilla que satisface las propiedades neoclásicas es la funciónCobb-Douglas xxx. Esta función puede reescribirse en términos per cápita del",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,ART NC ADJ VSfin ART NC,27,72,False,False,"X==""una función de producción [bastante sencilla que satisface las propiedades neoclásicas]""; Y==""la funciónCobb-Douglas xxx""",False,,15,12
H01,H1_economy_27,economy,hyp_attributif,none,[None],[None],el_ART_el consumidor_NC_consumidor es_VSfin_ser partidario_NC_partidario,el consumidor es partidario,"comportan trayectorias de consumo poco lisas. Por lo tanto, el consumidor es partidariode intercambiar parte de su consumo futuro por consumo presente. Esto",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC VSfin NC,19,47,False,False,sans article,False,,10,9
H01,H1_economy_28,economy,hyp_attributif,left,['término'],[None],El_ART_el término_NC_término de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el beneficio_NC_beneficio,El término de la derecha es el beneficio,", representa el beneficio de consumir ahora [5]. El término de la derecha es el beneficioo rendimiento neto obtenido del ahorro y, por tanto, de",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP ART NC VSfin ART NC,11,21,False,False,,False,,1,10
H01,H1_economy_29,economy,hyp_attributif,right,[None],['tipo'],Una_ART_un pregunta_NC_pregunta a_PREP_a la_ART_el que_CQUE_que se_SE_se enfrentaron_VLfin_enfrentar fue_VSfin_ser el_ART_el tipo_NC_tipo,Una pregunta a la que se enfrentaron fue el tipo,"los economistas neoclásicos introdujeron el crecimiento exógeno de la productividad. Una pregunta a la que se enfrentaron fue el tipode progreso técnico que se debía introducir. En la práctica,",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP ART CQUE SE VLfin VSfin ART NC,1,1,False,True,contexte tres long,False,,0,1
H01,H1_economy_30,economy,hyp_attributif,left,"['modelo', 'neoclásico', 'progreso', 'modelo neoclásico', 'progreso técnico']",[None],El_ART_el modelo_NC_modelo neoclásico_ADJ_neoclásico con_PREP_con progreso_NC_progreso técnico_ADJ_técnico Es_VSfin_ser el_ART_el momento_NC_momento,El modelo neoclásico con progreso técnico Es el momento,"que las cosechas más recientes de capital son más productivas. El modelo neoclásico con progreso técnico Es el momentode regresar al progreso técnico potenciador del trabajo, que expresamos en",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC ADJ PREP NC ADJ VSfin ART NC,1,2,False,True,(sous)titre+contenu,False,,0,1
H01,H1_economy_31,economy,hyp_attributif,left,"['función', 'utilidad', 'función de utilidad']",[None],la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser xxx_NP_xxx,la función de utilidad es xxx,". En primer lugar, la tasa efectiva de descuento de la función de utilidad es xxx, en lugar de ser xxx. En segundo lugar, la",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,ART NC PREP NC VSfin NP,3,4,False,True,,False,,0,3
H01,H1_economy_32,economy,hyp_attributif,left,"['tasa', 'depreciación', 'tasa efectiva']",[None],la_ART_el tasa_NC_tasa efectiva_ADJ_efectivo de_PREP_de depreciación_NC_depreciación es_VSfin_ser xxx_NP_xxx,la tasa efectiva de depreciación es xxx,", en lugar de ser xxx. En segundo lugar, la tasa efectiva de depreciación es xxx, en lugar de xxx. Si dejamos de lado estas dos",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,ART NC ADJ PREP NC VSfin NP,1,1,False,False,,False,,0,1
H01,H1_economy_33,economy,hyp_attributif,right,[None],['rendimiento'],El_ART_el miembro_NC_miembro de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el rendimiento_NC_rendimiento,El miembro de la derecha es el rendimiento,"futuro al presente para lograr así un consumo más liso. El miembro de la derecha es el rendimientode la inversión, que se reduce a la productividad marginal neta",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP ART NC VSfin ART NC,11,21,False,False,,False,,1,10
H01,H1_economy_34,economy,hyp_attributif,right,[None],['capital'],una_ART_un oferta_NC_oferta neta_ADJ_neto positiva_ADJ_positivo es_VSfin_ser el_ART_el capital_NC_capital,una oferta neta positiva es el capital,"economía cerrada sin gobierno, el único activo del que existe una oferta neta positiva es el capital, por lo cual, necesariamente xxx. Si sustituimos este resultado",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC ADJ ADJ VSfin ART NC,1,6,False,True,,False,,0,1
H01,H1_economy_35,economy,hyp_attributif,left,['producción'],[None],la_ART_el producción_NC_producción agregada_VLadj_agregar vendrá_VLfin_venir dada_VLadj_dar por_PREP_por xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx,la producción agregada vendrá dada por xxx siendo xxx,"Si se utiliza una función de producción del tipo Cobb-Douglas, la producción agregada vendrá dada por xxx siendo xxx. Supondremos que cada individuo representa una parte muy reducida del tamaño",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,ART NC VLadj VLfin VLadj PREP NP VSger NP,1,1,False,False,,False,,0,1
H01,H1_economy_36,economy,hyp_attributif,none,[None],[None],EL_ART_el Hamiltoniano_NP_Hamiltoniano será_VSfin_ser xxx_NP_xxx,EL Hamiltoniano será xxx,"consecuencia, se pueden aplicar las técnicas habituales de optimización. EL Hamiltoniano será xxxy las condiciones de primer orden que obtenemos son: xxx.",« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",ART NP VSfin NP,1,2,False,True,le temps verbal (future) n'indique pas une certitude,False,,0,1
H01,H1_economy_37,economy,hyp_attributif,right,[None],['inversión'],la_ART_el experiencia_NC_experiencia era_VSfin_ser la_ART_el inversión_NC_inversión,la experiencia era la inversión,"productividad. También defendía que una buena medida del aumento de la experiencia era la inversión, debido a que "" cada máquina nueva que es producida y",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC VSfin ART NC,37,118,False,False,,False,,24,13
H01,H1_economy_38,economy,hyp_attributif,both,['índice'],['inversión'],un_ART_un índice_NC_índice de_PREP_de experiencia_NC_experiencia es_VSfin_ser la_ART_el inversión_NC_inversión,un índice de experiencia es la inversión,"estímulos "" (p. 157). Esto implica que un índice de experiencia es la inversiónacumulada o, lo que es lo mismo, el stock de",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,ART NC PREP NC VSfin ART NC,14,37,False,False,contexte avec double CM,False,,7,7
H01,H1_economy_39,economy,hyp_attributif,both,"['número', 'economía']",['número'],el_ART_el número_NC_número de_PREP_de empresas_NC_empresa de_PREP_de la_ART_el economía_NC_economía sea_VSfin_ser un_ART_un número_NC_número,el número de empresas de la economía sea un número,"en un modelo AK de crecimiento endógeno. Supongamos ahora que el número de empresas de la economía sea un númeromuy elevado xxx, constante. Puesto que xxx es grande,",« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",ART NC PREP NC PREP ART NC VSfin ART NC,1,4,False,True,etre subjonctif,False,,0,1
H01,H1_economy_40,economy,hyp_attributif,left,"['unidad', 'escala']",[None],la_ART_el unidad_NC_unidad de_PREP_de escala_NC_escala relevante_ADJ_relevante sería_VSfin_ser el_ART_el área_NC_área,la unidad de escala relevante sería el área,"personajes de sangre azul. De acuerdo con el modelo, la unidad de escala relevante sería el áreaen la cual un determinado tipo de conocimiento se desborda. Es",« NON »,"NON;Negation, interrogation, probabilité (pouvoir;poder)",ART NC PREP NC ADJ VSfin ART NC,3,7,False,True,,False,,0,3
H01,H1_economy_41,economy,hyp_attributif,both,"['efectos', 'escala', 'efectos de escala']",['supuesto'],los_ART_el efectos_NC_efecto de_PREP_de escala_NC_escala es_VSfin_ser el_ART_el supuesto_NC_supuesto,los efectos de escala es el supuesto,"vez mayor. Técnicamente, la razón que está detrás de los efectos de escala es el supuestode que la externalidad depende del volumen agregado de capital. Una",« NON »,"NON;L’un des deux éléments est un candidat-terme du domaine, l’autre élément est une nominalisation ou un groupe nominal n’appartenant pas au domaine.",ART NC PREP NC VSfin ART NC,14,37,False,False,,False,,7,7
H01,H1_economy_42,economy,hyp_attributif,both,"['capital', 'físico', 'capital físico']",['bienes'],el_ART_el capital_NC_capital físico_ADJ_físico y_CC_y el_ART_el humano_ADJ_humano eran_VSfin_ser bienes_NC_bien,el capital físico y el humano eran bienes,"implícitos en nuestro argumento se apoyaba en el hecho de que el capital físico y el humano eran bienessimilares, en el sentido de que ambos podían ser acumulados a",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,ART NC ADJ CC ART ADJ VSfin NC,2,2,True,False,X coordiné,False,,2,0
H01,H1_economy_43,economy,hyp_attributif,both,"['capital', 'físico', 'capital físico']",['bienes'],el_ART_el capital_NC_capital físico_ADJ_físico y_CC_y el_ART_el humano_ADJ_humano son_VSfin_ser bienes_NC_bien,el capital físico y el humano son bienes,"la misma tecnología. Sin embargo, se podría argumentar que el capital físico y el humano son bienescon unas propiedades enteramente diferenciadas. En particular, la función de",« OUI »,OUI;Un contexte dans lequel il y a deux CT en relation du domaine.,ART NC ADJ CC ART ADJ VSfin NC,2,2,True,False,,False,,2,0
H01,H1_economy_44,economy,hyp_attributif,both,"['factores', 'producción', 'factores de producción']",['capital'],los_ART_el factores_NC_factor de_PREP_de producción_NC_producción son_VSfin_ser el_ART_el capital_NC_capital,los factores de producción son el capital,") parte de una función de producción Cobb-Douglas en la que los factores de producción son el capitalfísico y el humano, de modo que la producción viene dada",« NON »,NON;Le candidat-marqueur exprime une autre relation.,ART NC PREP NC VSfin ART NC,14,37,False,False,meronymie (partie de X son Y y Z),False,,7,7
H01,H1_economy_45,economy,hyp_attributif,left,"['tasas', 'crecimiento', 'tasas de crecimiento']",[None],las_ART_el tasas_NC_tasa de_PREP_de crecimiento_NC_crecimiento son_VSfin_ser xxx_NP_xxx,las tasas de crecimiento son xxx,". Vemos que, en ausencia de externalidades, xxx, las tasas de crecimiento son xxx. Es interesante observar que esta expresión es similar a la tasa",« INCERTAINE »,INCERTAINE;Les deux éléments en relation n’appartiennent pas au domaine de l'économie.,ART NC PREP NC VSfin NP,3,4,False,True,,False,,0,3
H01,H1_economy_46,economy,hyp_attributif,left,['crecimiento'],[None],el_ART_el crecimiento_NC_crecimiento es_VSfin_ser xxx_NP_xxx,el crecimiento es xxx,La única diferencia es que el parámetro de productividad relevante para el crecimiento es xxx(la productividad del sector educativo) en lugar de xxx (,« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,ART NC VSfin NP,2,4,False,False,,False,,0,2
H01,H1_economy_47,economy,hyp_attributif,left,['más'],[None],los_ART_el descubrimientos_NC_descubrimiento más_ADV_más interesantes_ADJ_interesante es_VSfin_ser la_ART_el aparición_NC_aparición,los descubrimientos más interesantes es la aparición,"estado estacionario. AL margen de este hecho, uno de los descubrimientos más interesantes es la apariciónde un comportamiento asimétrico entre xxx y xxx: la tasa de",« INCERTAINE »,INCERTAINE;Manque d’indices linguistiques ou manque de connaissances sur le domaine,ART NC ADV ADJ VSfin ART NC,2,5,False,True,Patron: Uno de los X más adj es Y,False,,0,2
H01,H1_economy_48,economy,hyp_attributif,both,['modelos'],['existencia'],El_ART_el elemento_NC_elemento común_ADJ_común de_PREP_de todos_QU_todo esos_DM_ese modelos_NC_modelo es_VSfin_ser la_ART_el existencia_NC_existencia,El elemento común de todos esos modelos es la existencia,relaciona con la tasa agregada de crecimiento de la economía. El elemento común de todos esos modelos es la existenciade empresas dedicadas a la investigación y el desarrollo (I +,« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC ADJ PREP QU DM NC VSfin ART NC,1,1,False,True,,False,,0,1
H01,H1_economy_49,economy,hyp_attributif,both,['resultado'],['progreso'],el_ART_el resultado_NC_resultado de_PREP_de la_ART_el cual_REL_cual es_VSfin_ser el_ART_el progreso_NC_progreso,el resultado de la cual es el progreso,"Se entabla pues una guerra tecnológica entre líderes y seguidores, el resultado de la cual es el progresotecnológico. Para modelos de escaleras de calidad y crecimiento, véase",« NON »,"NON; Le candidat-marqueur est présent en surface, mais il n’y a pas de lien conceptuel entre les éléments en relation.",ART NC PREP ART REL VSfin ART NC,2,2,False,True,,False,,0,2
