Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
ritmo de integración	24	44.82	ritmo de integración	Nom Préposition Nom
real	358	44.75	real___reales	Adjectif
tabla	61	44.46	tabla	Nom
comunidad en conjunto	22	44.32	comunidad en conjunto	Nom Préposition Nom
posición abierto	22	44.32	posiciones abiertas	Nom Adjectif
mercado de inversión	22	44.32	mercado de inversión___mercados de inversión___mercados de inversiones	Nom Préposition Nom
oriente	22	44.32	oriente	Adjectif
teoría económico	30	44.24	teoría económica	Nom Adjectif
bien final	20	44.07	bienes finales	Nom Adjectif
equipo productor	20	44.07	equipo productor	Nom Adjectif
supondremos	20	44.07	supondremos	Verbe
centésima	26	44.07	centésima	Adjectif
inversionista	36	43.81	inversionista___inversionistas	Nom
externalidades	28	43.77	externalidades	Nom
economía	475	43.58	economía___economías	Nom
burgués	26	43.42	burgués___burgueses	Adjectif
familia productor	20	42.99	familias productoras	Nom Adjectif
depresión	42	42.75	depresión___depresiones	Nom
empírico	32	42.24	empírico___empírica	Adjectif
fluctuación grande	18	41.69	fluctuación máxima	Nom Adjectif
exógeno	18	41.69	exógeno	Adjectif
costo primo	18	41.69	costo primo___costos primos	Nom Adjectif
función de demanda global	18	41.69	función de demanda global	Nom Préposition Nom Adjectif
meff renta	18	41.69	meff renta	Nom Nom
físico	139	41.49	físico___físicos___físicas	Adjectif
serie de opción	24	41.2	series de opciones	Nom Préposition Nom
obrero	56	41.16	obrero___obreros___obreras	Nom
sociología	24	40.57	sociología	Nom
efecto de escala	18	40.56	efecto de escala___efectos de escala	Nom Préposition Nom
sobreinversión	18	40.56	sobreinversión	Nom
paribus	18	40.56	paribus	Nom
hipótesis	86	40.48	hipótesis	Nom
proporción	141	40.32	proporción___proporciones	Nom
función	334	40.25	función___funciones	Nom
tasa de ahorro	20	40.15	tasa de ahorro	Nom Préposition Nom
inversión extranjero	54	39.63	inversión extranjera___inversiones extranjeras	Nom Adjectif
nivel general	34	39.19	nivel general	Nom Adjectif
inversión bruto	16	39.17	inversión bruta	Nom Adjectif
ecuación dinámico	16	39.17	ecuación dinámica___ecuaciones dinámicas	Nom Adjectif
condición de ocupación pleno	16	39.17	condiciones de ocupación plena	Nom Préposition Nom Adjectif
costo primo marginal	16	39.17	costo primo marginal___costos primos marginales	Nom Adjectif Adjectif
per	16	39.17	per	Adjectif
precio implícito	16	39.17	precio implícito___precios implícitos	Nom Adjectif
inversión corriente	16	39.17	inversión corriente___inversiones corrientes	Nom Adjectif
jean-paul	16	39.17	jean-paul	Nom
curva de demanda	16	39.17	curva de demanda___curvas de demanda	Nom Préposition Nom
alguien	16	39.17	alguien	Adverbe
clasificación crediticia	16	39.17	clasificación crediticia	Nom Adjectif
modelo de crecimiento endógeno	16	39.17	modelo de crecimiento endógeno___modelos de crecimiento endógeno	Nom Préposition Nom Adjectif
crecer	134	39.01	crecer___creces___creció___crecieron	Verbe
infinito	44	38.79	infinito___infinita	Adjectif
agregado	38	38.53	agregado___agregados	Nom
modelo de crecimiento	24	38.31	modelo de crecimiento___modelos de crecimiento	Nom Préposition Nom
gráfico	23	38.25	gráfico	Nom
psicología	28	38.22	psicología	Nom
ceteris paribus	16	37.97	ceteris paribus	Nom Nom
diferencial	41	37.85	diferencial___diferenciales	Adjectif
fluctuación pequeño	15	37.84	fluctuación mínima	Nom Adjectif
depósito interbancario	15	37.84	depósito interbancario	Nom Adjectif
pág	20	37.8	pág	Nom
promedio	58	37.66	promedio	Nom
país industrial	30	37.47	países industriales	Nom Adjectif
aumentar	336	37.38	aumentar___aumentara___aumentaran___aumentarían	Verbe
interbancario	19	37.28	interbancario	Adjectif
nivel de ocupación	21	37.04	nivel de ocupación	Nom Préposition Nom
subir	77	36.78	subir___subió___subiera	Verbe
tasa de inversión	18	36.78	tasa de inversión___tasas de inversión	Nom Préposition Nom
variación	54	36.65	variación___variaciones	Nom
condición de ocupación	14	36.47	condiciones de ocupación	Nom Préposition Nom
dividendo nacional	14	36.47	dividendo nacional	Nom Adjectif
thunen	14	36.47	thunen	Nom
producción cobb-douglas	14	36.47	producción cobb-douglas	Nom Nom
país de integración	14	36.47	países de integración	Nom Préposition Nom
unidad de costo	14	36.47	unidad de costos	Nom Préposition Nom
actividad de i+d	14	36.47	actividades de i+d	Nom Préposition Nom
consumo presente	14	36.47	consumo presente	Nom Adjectif
bien durable	14	36.47	bienes durables	Nom Adjectif
laissez-faire	20	36.44	laissez-faire	Nom
unidad de trabajo	18	35.99	unidad de trabajo___unidades de trabajo	Nom Préposition Nom
tipo de capital	16	35.87	tipo de capital___tipos de capital	Nom Préposition Nom
remuneración	81	35.45	remuneración___remuneraciones	Nom
valor	421	35.33	valor___valores	Nom
exógena	14	35.2	exógena	Adjectif
inversión nuevo	14	35.2	inversión nueva___inversiones nuevas	Nom Adjectif
escuela clásico	14	35.2	escuela clásica	Nom Adjectif
capítulo siguiente	14	35.2	capítulo siguiente___capítulos siguientes	Nom Adjectif
día hábil anterior	13	35.04	día hábil anterior	Nom Adjectif Adjectif
probable	110	34.96	probable___probables	Adjectif
renta	132	34.94	renta___rentas	Nom
esquema	65	34.88	esquema___esquemas	Nom
radicalismo	24	34.71	radicalismo	Nom
involuntario	30	34.41	involuntario___involuntarios	Adjectif
corriente	66	34.23	corriente___corrientes	Adjectif
maximización	20	34.09	maximización	Nom
ingreso alto	14	34.06	ingreso alto	Nom Adjectif
cantidad de capital	14	34.06	cantidad de capital___cantidades de capital	Nom Préposition Nom
empresario	133	33.87	empresario___empresarios	Nom
tipo de interés	89	33.78	tipo de interés___tipos de interés	Nom Préposition Nom
mano de obra	86	33.75	mano de obra	Nom Préposition Nom
intertemporal	12	33.55	intertemporal	Adjectif
acuerdo	12	33.55	acuerdo	Adjectif
significaciones	12	33.55	significaciones	Nom
maximizan	12	33.55	maximizan	Verbe
ed	12	33.55	ed	Nom
thunen	12	33.55	thunen	Adverbe
país de ingreso alto	12	33.55	países de ingreso alto	Nom Préposition Nom Adjectif
opción mensual correspondiente	12	33.55	opción mensual correspondiente___opciones mensuales correspondientes	Nom Adjectif Adjectif
costo de factor	12	33.55	costo de factores	Nom Préposition Nom
escuela histórico	12	33.55	escuela histórica___escuelas históricas	Nom Adjectif
país de integración rápido	12	33.55	países de integración rápida	Nom Préposition Nom Adjectif
equilibrio competitivo	12	33.55	equilibrio competitivo	Nom Adjectif
velocidad-ingreso	12	33.55	velocidad-ingreso	Nom
hipótesis de convergencia	12	33.55	hipótesis de convergencia	Nom Préposition Nom
teoría del valor	12	33.55	teoría del valor	Nom Préposition Nom
tecnología ak	12	33.55	tecnología ak	Nom Nom
precio de cierre	12	33.55	precio de cierre	Nom Préposition Nom
liquidación por método alternativo	12	33.55	liquidación por métodos alternativos	Nom Préposition Nom Adjectif
momento del tiempo	12	33.55	momento del tiempo___momentos del tiempo	Nom Préposition Nom
estado de ocupación	12	33.55	estado de ocupación	Nom Préposition Nom
mis	12	33.55	mis	Nom
número de bien	12	33.55	número de bienes	Nom Préposition Nom
econometrica	12	33.55	econometrica	Adjectif
petty	12	33.55	petty	Nom
descenso	74	33.42	descenso___descensos	Nom
renta fijo	16	33.28	renta fija	Nom Adjectif
época	122	33.1	época___épocas	Nom
liberalismo económico	20	32.59	liberalismo económico	Nom Adjectif
crecimiento del capital	12	32.21	crecimiento del capital	Nom Préposition Nom
liberalismo político	12	32.21	liberalismo político	Nom Adjectif
nivel de salario	14	32.07	nivel de salarios___niveles de salarios	Nom Préposition Nom
cupón	14	32.07	cupón___cupones	Nom
integración rápido	14	32.07	integración rápida	Nom Adjectif
obra	175	32.02	obra___obras	Nom
simulen	11	31.99	simulen	Verbe
fecha valor	11	31.99	fecha valor	Nom Nom
fecha de liquidación	11	31.99	fecha de liquidación	Nom Préposition Nom
forma de cotización	11	31.99	forma de cotización___formas de cotización	Nom Préposition Nom
límite de fluctuación	11	31.99	límite de fluctuación___límites de fluctuación	Nom Préposition Nom
mes de vencimiento	11	31.99	mes de vencimiento	Nom Préposition Nom
cálculo completo	11	31.99	cálculo completo	Nom Adjectif
cálculo de garantía	11	31.99	cálculo de garantías	Nom Préposition Nom
precio de demanda	11	31.99	precio de demanda	Nom Préposition Nom
modelo de valoración	11	31.99	modelo de valoración	Nom Préposition Nom
derivados de renta fijo	11	31.99	derivados de renta fija	Nom Préposition Nom Adjectif
juicio de valor	24	31.62	juicio de valor___juicios de valor	Nom Préposition Nom
eficiencia	112	31.28	eficiencia	Nom
ganancia	58	31.22	ganancia___ganancias	Nom
política de salario	14	31.19	política de salarios	Nom Préposition Nom
tender	100	31.19	tender___tenderá___tendía___tendieron	Verbe
utilidad	112	31.14	utilidad___utilidades	Nom
efectivo	188	31.09	efectivo___efectivos___efectivas	Adjectif
crecimiento positivo	12	31.01	crecimiento positivo___crecimiento positiva___crecimiento positivas	Nom Adjectif
quintal	12	31.01	quintal___quintales	Nom
ingreso total	12	31.01	ingreso total	Nom Adjectif
contrato	155	30.68	contrato___contratos	Nom
clase de miembro	11	30.6	clase de miembro	Nom Préposition Nom
futuros	11	30.6	futuros	Nom
parámetro necesario	11	30.6	parámetros necesarios	Nom Adjectif
término del reglamento	11	30.6	términos del reglamento	Nom Préposition Nom
índice de precio	13	30.54	índice de precios	Nom Préposition Nom
término monetario	14	30.38	términos monetarios	Nom Adjectif
eficiencias marginal	10	30.36	eficiencias marginales	Nom Adjectif
clase guerrera	10	30.36	clase guerrera	Nom Adjectif
índice de comercio	10	30.36	índices de comercio	Nom Préposition Nom
nuestra teoría	10	30.36	nuestra teoría	Nom Nom
participación del capital físico	10	30.36	participación del capital físico___participaciones del capital físico	Nom Préposition Nom Adjectif
radicalismo burgués	10	30.36	radicalismo burgués	Nom Adjectif
rendimiento marginal	10	30.36	rendimiento marginal___rendimientos marginales	Nom Adjectif
tipo de progreso técnico	10	30.36	tipo de progreso técnico___tipos de progreso técnico	Nom Préposition Nom Adjectif
desocupación involuntario	10	30.36	desocupación involuntaria	Nom Adjectif
vencimiento meff	10	30.36	vencimiento meff	Nom Nom
multifibras	10	30.36	multifibras	Nom
explotación agrícola familiar	10	30.36	explotaciones agrícolas familiares	Nom Adjectif Adjectif
econometría	10	30.36	econometría	Nom
investigación del ciclo económico	10	30.36	investigación del ciclo económico	Nom Préposition Nom Adjectif
estado de ocupación pleno	10	30.36	estado de ocupación plena	Nom Préposition Nom Adjectif
viet	10	30.36	viet	Nom
valor presente	10	30.36	valor presente	Nom Adjectif
relación de valor	10	30.36	relación de valores	Nom Préposition Nom
economía de planificación	10	30.36	economía de planificación	Nom Préposition Nom
escala de producción	10	30.36	escala de producción	Nom Préposition Nom
excedente del ahorro	10	30.36	excedente del ahorro	Nom Préposition Nom
tasa de crecimiento positivo	10	30.36	tasa de crecimiento positiva___tasas de crecimiento positivas	Nom Préposition Nom Adjectif
clase empresarial	10	30.36	clase empresarial	Nom Adjectif
miembro liquidadores	10	30.36	miembros liquidadores	Nom Nom
hicks	10	30.36	hicks	Nom
parámetro de productividad	10	30.36	parámetro de productividad___parámetros de productividad	Nom Préposition Nom
aparato analítico	10	30.36	aparato analítico	Nom Adjectif
alisar	10	30.36	alisar	Verbe
producción de capital	10	30.36	producción de capital	Nom Préposition Nom
salario monetario	10	30.36	salario monetario___salarios monetarios	Nom Adjectif
fondo de amortización	10	30.36	fondos de amortización	Nom Préposition Nom
curva de ahorro	10	30.36	curva de ahorro	Nom Préposition Nom
política de salario flexible	10	30.36	política de salarios flexibles	Nom Préposition Nom Adjectif
friccional	10	30.36	friccional	Nom
estadístico	97	29.78	estadístico___estadísticos___estadísticas	Adjectif
bolsa de valor	14	29.62	bolsa de valores___bolsas de valores	Nom Préposition Nom
supuesto	61	29.42	supuesto___supuestos	Adjectif
ascendente	23	29.41	ascendente	Adjectif
característica del contrato	11	29.38	características del contrato	Nom Préposition Nom
hábil	35	29.29	hábil___hábiles	Adjectif
profesor	96	29.19	profesor___profesores	Nom
crediticia	18	29.19	crediticia	Adjectif
restricción presupuestario	28	29.18	restricción presupuestaria___restricciones presupuestarias	Nom Adjectif
población activo	41	29.15	población activa	Nom Adjectif
capital físico y humano	10	28.92	capital físico y humano	Nom Adjectif Coord_Conjunction Adjectif
proporción exacto	10	28.92	proporción exacta	Nom Adjectif
equipo de producción	10	28.92	equipo de producción	Nom Préposition Nom
sahara	10	28.92	sahara	Nom
situación científico	10	28.92	situación científica	Nom Adjectif
diez años	9	28.63	diez años	Nom Adjectif
redondeará	9	28.63	redondeará	Verbe
término	281	28.43	término___términos	Nom
décima	14	28.27	décimas	Nom
expectativa	106	28.08	expectativa___expectativas	Nom
sector informal	12	28.07	sector informal	Nom Adjectif
desinversión	12	28.07	desinversión	Nom
descendente	24	28.07	descendente	Adjectif
inferior	100	28.06	inferior___inferiores	Adjectif
proposición	38	27.99	proposición___proposiciones	Nom
índice	81	27.79	índice___índices	Nom
descuento	27	27.75	descuento___descuentos	Nom
intuitiva	10	27.66	intuitiva	Adjectif
ingreso mediano	10	27.66	ingreso mediano	Nom Adjectif
interanual	10	27.66	interanual	Adjectif
liquidez	35	27.46	liquidez	Nom
capital inicial	16	27.42	capital inicial___capital iniciales	Nom Adjectif
liberalismo	42	27.39	liberalismo	Nom
cambio	376	27.36	cambio___cambios	Nom
faltara	11	27.3	faltara	Verbe
nivel de precio	22	27.1	nivel de precio___nivel de precios___niveles de precios	Nom Préposition Nom
reposición	14	27.07	reposición	Nom
desbordamiento	14	27.07	desbordamiento	Nom
reserva financiero	14	27.07	reserva financiera___reservas financieras	Nom Adjectif
cartera	45	27	cartera	Nom
manufactura	16	26.98	manufacturas	Nom
sistema de idea	8	26.79	sistemas de ideas	Nom Préposition Nom
gasto en consumo	8	26.79	gasto en consumo___gastos en consumo	Nom Préposition Nom
sobrestructura	8	26.79	sobrestructura	Nom
priori	8	26.79	priori	Nom
contrato de opción	8	26.79	contrato de opción	Nom Préposition Nom
stocks de capital	8	26.79	stocks de capital	Nom Préposition Nom
vol	8	26.79	vol	Nom
political	8	26.79	political	Nom
costo de reposición	8	26.79	costo de reposición	Nom Préposition Nom
trayectoria de consumo	8	26.79	trayectoria de consumo___trayectorias de consumo	Nom Préposition Nom
teoría puro	8	26.79	teoría pura	Nom Adjectif
consumo futuro	8	26.79	consumo futuro	Nom Adjectif
renta inicial	8	26.79	renta inicial	Nom Adjectif
razón intuitiva	8	26.79	razón intuitiva	Nom Adjectif
economista del período	8	26.79	economistas del período	Nom Préposition Nom
imperfect	8	26.79	imperfect	Nom
socialista de cátedra	8	26.79	socialistas de cátedra	Nom Préposition Nom
desbordamiento del conocimiento	8	26.79	desbordamiento del conocimiento	Nom Préposition Nom
productividad marginal neto	8	26.79	productividad marginal neta	Nom Adjectif Adjectif
parámetro del modelo	8	26.79	parámetros del modelo	Nom Préposition Nom
porcentaje de variación	8	26.79	porcentaje de variación___porcentajes de variación	Nom Préposition Nom
crecimiento exógeno	8	26.79	crecimiento exógeno	Nom Adjectif
ocupación completo	8	26.79	ocupación completa	Nom Adjectif
empresa de i+d	8	26.79	empresas de i+d	Nom Préposition Nom
notas	8	26.79	notas	Adjectif
volumen de demanda	8	26.79	volumen de demanda	Nom Préposition Nom
sentido anterior	8	26.79	sentido anterior	Nom Adjectif
cálculo razonable	8	26.79	cálculo razonable___cálculos razonables	Nom Adjectif
tasa exógena	8	26.79	tasa exógena	Nom Adjectif
pareto	8	26.79	pareto	Nom
valor igual	8	26.79	valor igual	Nom Adjectif
escolásticos	8	26.79	escolásticos	Adjectif
ocupación en conjunto	8	26.79	ocupación en conjunto	Nom Préposition Nom
restricción dinámico	8	26.79	restricción dinámica___restricciones dinámicas	Nom Adjectif
cierre del futuro	8	26.79	cierre del futuro	Nom Préposition Nom
nuestro conocimiento	8	26.79	nuestro conocimiento	Nom Nom
tinbergen	8	26.79	tinbergen	Nom
utilidad marginal	8	26.79	utilidad marginal	Nom Adjectif
historia del análisis	8	26.79	historia del análisis	Nom Préposition Nom
nuestras	8	26.79	nuestras	Verbe
hipótesis explicativo	8	26.79	hipótesis explicativa___hipótesis explicativas	Nom Adjectif
productor de bien final	8	26.79	productores de bienes finales	Nom Préposition Nom Adjectif
valor entregables	8	26.79	valores entregables	Nom Nom
solow	8	26.79	solow	Nom
negociadas	8	26.79	negociadas	Adjectif
producción neto	8	26.79	producción neta	Nom Adjectif
stock medio	8	26.79	stock medio	Nom Adjectif
serie existente	8	26.79	series existentes	Nom Adjectif
sector de bien final	8	26.79	sector de bienes finales	Nom Préposition Nom Adjectif
capital por trabajador	8	26.79	capital por trabajador	Nom Préposition Nom
miles	8	26.79	miles	Nom
producción en conjunto	8	26.79	producción en conjunto	Nom Préposition Nom
demanda global efectivo	8	26.79	demanda global efectiva	Nom Adjectif Adjectif
ingreso monetario	8	26.79	ingreso monetario___ingresos monetarios	Nom Adjectif
distribución del ingreso	8	26.79	distribución del ingreso	Nom Préposition Nom
depender	187	26.71	depender___dependerá___dependa	Verbe
anterior	241	26.66	anterior___anteriores	Adjectif
alza de precio	10	26.54	alza de precios	Nom Préposition Nom
frugalidad	10	26.54	frugalidad	Nom
cátedra	14	26.53	cátedra	Nom
condición excepcional	12	26.51	condiciones excepcionales	Nom Adjectif
costo del transporte	12	26.51	costo del transporte___costos del transporte	Nom Préposition Nom
feudal	12	26.51	feudal	Adjectif
parámetro	61	26.27	parámetro___parámetros	Nom
sistema cerrado	16	26.17	sistema cerrado	Nom Adjectif
grupo de trabajador	16	26.17	grupo de trabajadores___grupos de trabajadores	Nom Préposition Nom
subproducto	14	26.01	subproducto	Nom
coincidente	9	25.84	coincidente	Nom
través del tiempo	12	25.81	través del tiempo	Nom Préposition Nom
dinero	263	25.7	dinero	Nom
doctrina	46	25.61	doctrina___doctrinas	Nom
valor positivo	11	25.59	valor positivo	Nom Adjectif
economía cerrado	10	25.55	economía cerrada	Nom Adjectif
naturaleza humano	14	25.53	naturaleza humana	Nom Adjectif
ciclo	69	25.45	ciclo___ciclos	Nom
matemático	24	25.44	matemático___matemática___matemáticas	Adjectif
contemporáneo	32	25.24	contemporáneo___contemporáneos___contemporáneas	Adjectif
teoría cuantitativa	8	25.23	teoría cuantitativa	Nom Adjectif
ocupación total	8	25.23	ocupación total	Nom Adjectif
literatura económico	8	25.23	literatura económica	Nom Adjectif
fim	8	25.23	fim	Nom
producción correspondiente	8	25.23	producción correspondiente	Nom Adjectif
clase de inversión	8	25.23	clase de inversión___clase de inversiones___clases de inversiones	Nom Préposition Nom
factor objetivo	8	25.23	factores objetivos	Nom Adjectif
teoremas	8	25.23	teoremas	Nom
déficit fiscal	8	25.23	déficit fiscal___déficit fiscales	Nom Adjectif
coste de investigación	8	25.23	costes de investigación	Nom Préposition Nom
feudales	12	25.17	feudales	Adjectif
ventaja social	12	25.17	ventaja social___ventajas sociales	Nom Adjectif
alquiler	24	25.12	alquiler___alquileres	Nom
coste marginal	16	25.06	coste marginal___costes marginales	Nom Adjectif
probabilidad	46	25.03	probabilidad___probabilidades	Nom
amortización	22	25.03	amortización	Nom
miércoles del mes	7	24.82	miércoles del mes	Nom Préposition Nom
interés de depósito interbancario	7	24.82	interés de depósito interbancario	Nom Préposition Nom Adjectif
contrato de futuros	7	24.82	contrato de futuros	Nom Préposition Nom
tabla notas	7	24.82	tabla notas	Nom Adjectif
forma de liquidación	7	24.82	forma de liquidación	Nom Préposition Nom
ritmo de descenso	7	24.82	ritmo de descenso	Nom Préposition Nom
bolsa	45	24.81	bolsa___bolsas	Nom
influencia	118	24.69	influencia	Nom
tipo de modelo	10	24.66	tipo de modelos	Nom Préposition Nom
fraile	10	24.66	frailes	Nom
ingreso global	10	24.66	ingreso global	Nom Adjectif
desgaste	14	24.62	desgaste	Nom
equipo	120	24.56	equipo___equipos	Nom
trimestre	28	24.44	trimestre___trimestres	Nom
análisis	175	24.43	análisis	Nom
procedimiento de análisis	11	24.16	procedimiento de análisis	Nom Préposition Nom
fecha de expiración	13	24.05	fecha de expiración	Nom Préposition Nom
