Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
cepa	417	69.75	cepa___cepas	Nom
conexión	825	69.37	conexión___conexiones	Nom
enzima	379	69.04	enzima	Nom
inmunitario	366	68.96	inmunitario	Nom
arn	362	68.58	arn	Nom
fragmento	408	68.56	fragmento___fragmentos	Nom
alelos	360	68.39	alelos	Nom
ipx	352	67.63	ipx	Nom
músculo	365	67.4	músculo___músculos	Nom
nuestro	353	67.29	nuestro	Nom
sistema inmunitario	340	66.46	sistema inmunitario	Nom Nom
vídeo	404	65.34	vídeo___vídeos	Nom
subred	326	65.07	subred___subredes	Nom
fibra	417	64.4	fibra___fibras	Nom
infección	456	64.27	infección___infecciones	Nom
alelo	318	64.27	alelo	Nom
nodo	314	63.28	nodo___nodos	Nom
fenotipo	306	63.04	fenotipo___fenotipos	Nom
formato	411	62.89	formato___formatos	Nom
vacuna	499	62.83	vacuna___vacunas	Nom
probabilidad	495	62.72	probabilidad___probabilidades	Nom
enlace	496	62.66	enlace___enlaces	Nom
tamaño	656	62.42	tamaño___tamaños	Nom
trabajo cliente	300	62.41	trabajo cliente___trabajo clientes	Nom Nom
sonido	335	61.91	sonido___sonidos	Nom
antígenos	293	61.68	antígenos	Nom
marcador	371	60.81	marcador___marcadores	Nom
ruta	564	60.72	ruta___rutas	Nom
síntesis	503	60.71	síntesis	Nom
síndrome	375	60.54	síndrome___síndromes	Nom
mapa	464	59.99	mapa___mapas	Nom
herramienta	680	59.88	herramienta___herramientas	Nom
tratamiento	1113	59.8	tratamiento___tratamientos	Nom
nuestros	281	59.79	nuestros	Nom
teoría	544	59.77	teoría___teorías	Nom
hipótesis	504	59.71	hipótesis	Nom
variación	398	59.51	variación___variaciones	Nom
fig	272	59.42	fig	Nom
ligamiento	268	58.98	ligamiento	Nom
hembra	277	58.29	hembra___hembras	Nom
filtro	340	58.22	filtro___filtros	Nom
recombinación	261	58.2	recombinación	Nom
nuestra	279	57.84	nuestra	Nom
correo	637	57.55	correo___correos	Nom
sección	574	57.41	sección___secciones	Nom
terapia	379	57.32	terapia___terapias	Nom
varón	305	57.27	varón___varones	Nom
función	1612	56.8	función___funciones	Nom
routers	248	56.73	routers	Nom
tipo	2897	56.4	tipo___tipos	Nom
macho	296	56.36	macho___machos	Nom
microorganismos	244	56.27	microorganismos	Nom
segmento	383	56.11	segmento___segmentos	Nom
tasa	1041	56.06	tasa___tasas	Nom
intro	234	55.1	intro	Nom
laboratorio	446	55.02	laboratorio___laboratorios	Nom
ibm	233	54.98	ibm	Nom
vector	303	54.65	vector___vectores	Nom
técnica	711	54.07	técnica___técnicas	Nom
glucosa	235	53.66	glucosa	Nom
búsqueda	686	53.59	búsqueda___búsquedas	Nom
mutantes	221	53.54	mutantes	Nom
unidad	954	53.51	unidad___unidades	Nom
hélice	219	53.29	hélice___hélices	Nom
editor	271	53	editor___editores	Nom
superficie	586	52.95	superficie___superficies	Nom
dato	1624	52.85	dato___datos	Nom
rendimiento	555	52.73	rendimiento___rendimientos	Nom
sistema operativo	232	52.31	sistema operativo___sistemas operativos	Nom Adjectif
lector	268	52.08	lector___lectores	Nom
appletalk	208	51.93	appletalk	Nom
mosca	231	51.83	mosca___moscas	Nom
huésped	216	50.67	huésped___huéspedes	Nom
diana	202	50.46	diana	Nom
locus	198	50.37	locus	Nom
memoria	452	50.32	memoria___memorias	Nom
salario	693	50.17	salario___salarios	Nom
clones	204	50.17	clones	Nom
controlador	317	50.09	controlador___controladora___controladoras	Nom
defecto	463	50.01	defecto___defectos	Nom
loci	189	49.49	loci	Nom
detección	356	49.25	detección	Nom
ascii	187	49.22	ascii	Nom
utilidad	609	48.66	utilidad___utilidades	Nom
génico	182	48.56	génico	Nom
plásmidos	182	48.56	plásmidos	Nom
ocupación	526	48.55	ocupación___ocupaciones	Nom
módulo	213	48.47	módulo___módulos	Nom
salario nominal	184	48.38	salario nominal___salarios nominales	Nom Adjectif
cdna	180	48.29	cdna	Nom
usenet	180	48.29	usenet	Nom
experimento	409	48.09	experimento___experimentos	Nom
gemelo|gemelos	192	47.77	gemelos	Nom
correo electrónico	329	47.64	correo electrónico___correos electrónico___correos electrónicos	Nom Adjectif
base de dato	359	47.53	base de datos___bases de datos	Nom Préposition Nom
enfermedad genético	200	47.33	enfermedad genética___enfermedades genéticas	Nom Adjectif
ácido	213	47.24	ácido___ácidos	Nom
extremo	439	47.2	extremo___extremos	Nom
tasa de interés	178	47.11	tasa de interés___tasas de interés	Nom Préposition Nom
inmunitaria	171	47.06	inmunitaria	Nom
sistema nervioso	202	47	sistema nervioso	Nom Adjectif
genoma humano	210	46.73	genoma humano	Nom Adjectif
ciclo	451	46.62	ciclo___ciclos	Nom
sistema	3421	46.6	sistema___sistemas	Nom
vencimiento	229	46.37	vencimiento___vencimientos	Nom
requester	166	46.36	requester	Nom
información	2842	46.26	información___informaciones	Nom
url	165	46.22	url	Nom
mutante	169	46.16	mutante	Nom
memes	164	46.08	memes	Nom
microcomputadora	164	46.08	microcomputadora	Nom
carga crítica	164	45.92	cargas críticas	Nom Nom
crecimiento	1507	45.65	crecimiento___crecimientos	Nom
vía de acceso	178	45.56	vía de acceso___vías de acceso	Nom Préposition Nom
organismo	1010	45.48	organismo___organismos	Nom
ethernet	159	45.37	ethernet	Nom
alteración	263	45.26	alteración___alteraciones	Nom
diagnóstico	362	45.14	diagnóstico___diagnósticos	Nom
longitud	259	45.04	longitud___longitudes	Nom
insulina	174	44.99	insulina	Nom
interacción	288	44.98	interacción___interacciones	Nom
icono	157	44.91	icono___iconos	Nom
médula	191	44.9	médula	Nom
audio	158	44.58	audio	Nom
terapia génica	153	44.5	terapia génica	Nom Adjectif
rata	171	44.42	rata___ratas	Nom
estación cliente	152	44.35	estación cliente___estaciones cliente___estaciones clientes	Nom Nom
editor de texto	152	44.35	editor de texto___editor de textos	Nom Préposition Nom
eucariotas	152	44.35	eucariotas	Nom
patrón	268	44.22	patrón___patrones	Nom
oligonucleótidos	150	44.05	oligonucleótidos	Nom
láser	155	43.98	láser	Nom
funcionalidad	180	43.93	funcionalidad___funcionalidades	Nom
tumorales	149	43.91	tumorales	Nom
disquete	150	43.89	disquete	Nom
dominio	371	43.84	dominio___dominios	Nom
tasa de crecimiento	259	43.82	tasa de crecimiento___tasas de crecimiento	Nom Préposition Nom
cfg	148	43.76	cfg	Nom
volumen	566	43.73	volumen___volúmenes	Nom
mensaje	934	43.62	mensaje___mensajes	Nom
host	147	43.61	host	Nom
herencia	297	43.61	herencia___herencias	Nom
nuestras	147	43.61	nuestras	Nom
cinc	147	43.44	cinc	Nom
investigador	387	43.34	investigador___investigadora___investigadores	Nom
descubrimiento	299	43.18	descubrimiento___descubrimientos	Nom
número	1731	43.1	número___números	Nom
copia	282	43.03	copia	Nom
acidificación	238	43.01	acidificación	Nom
ensayo	416	42.95	ensayo___ensayos	Nom
clase	676	42.77	clase___clases	Nom
biología	189	42.54	biología	Nom
disco duro	144	42.49	disco duro___discos duros	Nom Adjectif
página principal	141	42.36	página principal___páginas principales	Nom Adjectif
gametos	143	42.17	gametos	Nom
metabolismo	146	42.15	metabolismo	Nom
ecuación	184	42.13	ecuación___ecuaciones	Nom
par	506	41.98	par___pares	Nom
meiosis	136	41.93	meiosis	Nom
interred	136	41.93	interred___interredes	Nom
producción	1600	41.91	producción___producciones	Nom
tecla	152	41.87	tecla___teclas	Nom
tarjeta	419	41.75	tarjeta___tarjetas	Nom
botón	188	41.59	botón___botones	Nom
conmutación	139	41.55	conmutación	Nom
cantidad	1056	41.54	cantidad___cantidades	Nom
programa cliente	132	41.31	programa cliente___programas cliente___programas clientes	Nom Nom
metástasis	133	41.29	metástasis	Nom
config	130	40.99	config	Nom
cromosómicas	130	40.99	cromosómicas	Nom
universidad	467	40.96	universidad___universidades	Nom
versión	590	40.93	versión___versiones	Nom
salario real	142	40.9	salario real___salarios reales	Nom Adjectif
miles	129	40.83	miles	Nom
hardware	157	40.74	hardware	Nom
compuesto	204	40.64	compuestos	Nom
característica	617	40.58	característica___características	Nom
hormona	351	40.56	hormona___hormonas	Nom
bitnet	127	40.51	bitnet	Nom
apoptosis	126	40.35	apoptosis	Nom
tarjeta de red	126	40.35	tarjeta de red___tarjetas de red	Nom Préposition Nom
estudio	1155	40.31	estudio___estudios	Nom
plásmido	125	40.19	plásmido	Nom
color	273	40.13	color___colores	Nom
respuesta inmunitaria	124	40.02	respuesta inmunitaria	Nom Nom
propensión	161	40.01	propensión	Nom
riñón	136	39.94	riñón___riñones	Nom
lesión	212	39.9	lesión___lesiones	Nom
placa	159	39.82	placa___placas	Nom
ventana	244	39.71	ventana___ventanas___ventanilla	Nom
fibra muscular	122	39.7	fibra muscular___fibras musculares	Nom Adjectif
porción	172	39.62	porción___porciones	Nom
demanda efectivo	128	39.62	demanda efectiva	Nom Adjectif
espermatozoide	129	39.61	espermatozoide___espermatozoides	Nom
paquete	758	39.41	paquete___paquetes	Nom
árbol	279	39.41	árbol___árboles	Nom
formulario	214	39.38	formulario___formularios	Nom
inetcfg	120	39.37	inetcfg	Nom
información genético	132	39.29	información genética___informaciones genéticas	Nom Adjectif
gripe	151	39.29	gripe	Nom
vaso sanguíneos	122	39.15	vasos sanguíneos	Nom Adjectif
componente	492	39.12	componente___componentes	Nom
nutriente	140	39.11	nutriente___nutrientes	Nom
sitio	464	39.07	sitio___sitios	Nom
célula tumorales	118	39.04	células tumorales	Nom Nom
capa	361	39.03	capa___capas___capita	Nom
frecuencia	800	38.94	frecuencia___frecuencias	Nom
genotipos	120	38.82	genotipos	Nom
material genético	146	38.74	material genético	Nom Adjectif
integrinas	116	38.7	integrinas	Nom
inmunoglobulinas	117	38.68	inmunoglobulinas	Nom
descendiente	167	38.65	descendiente___descendientes	Nom
vehículo	746	38.64	vehículo___vehículos	Nom
instalación	646	38.64	instalación___instalaciones	Nom
transmisión	373	38.56	transmisión___transmisiones	Nom
ftp	115	38.53	ftp	Nom
ritonavir	115	38.53	ritonavir	Nom
superficie celular	115	38.53	superficie celular___superficies celulares	Nom Adjectif
estacionario	116	38.51	estacionario	Nom
cebadores	117	38.49	cebadores	Nom
ocupación pleno	114	38.36	ocupación plena	Nom Adjectif
átomo	128	38.31	átomo___átomos	Nom
genotipo	120	38.28	genotipo	Nom
recuadro	113	38.19	recuadro	Nom
microsatélites	113	38.19	microsatélites	Nom
localización	237	38.19	localización___localizaciones	Nom
supresor	114	38.17	supresor___supresores	Nom
tubo	137	38.06	tubo___tubos	Nom
estado estacionario	112	38.02	estado estacionario	Nom Nom
división celular	112	38.02	división celular___divisiones celulares	Nom Adjectif
factor de transcripción	112	38.02	factor de transcripción___factores de transcripción	Nom Préposition Nom
matriz	159	37.92	matriz___matrices	Nom
imagen	598	37.89	imagen___imágenes	Nom
génicas	111	37.85	génicas	Nom
beta	112	37.83	beta	Nom
mamífero	146	37.75	mamífero___mamíferos	Nom
célula cancerosas	110	37.68	células cancerosas	Nom Adjectif
citoplasma	110	37.68	citoplasma	Nom
seleccione	110	37.68	seleccione	Nom
texto ascii	110	37.68	texto ascii___textos ascii	Nom Nom
vaso	180	37.59	vaso___vasos	Nom
inyección	161	37.51	inyección___inyecciones	Nom
protocol	109	37.5	protocol	Nom
mail	111	37.46	mail	Nom
hidrógeno	139	37.46	hidrógeno	Nom
aplicación multimedia	112	37.45	aplicación multimedia___aplicaciones multimedia	Nom Adjectif
trama	142	37.33	trama___tramas	Nom
activación	149	37.3	activación	Nom
microorganismo	158	37.24	microorganismo	Nom
proporción	453	37.17	proporción___proporciones	Nom
dedo de cinc	107	37.15	dedo de cinc___dedos de cinc	Nom Préposition Nom
meff	106	36.98	meff	Nom
axones	106	36.98	axones	Nom
fija	105	36.8	fija	Nom
contracción	117	36.74	contracción___contracciones	Nom
arn mensajero	104	36.62	arn mensajero	Nom Adjectif
pcr	104	36.62	pcr	Nom
mitocondrias	104	36.62	mitocondrias	Nom
opción	737	36.5	opción___opciones	Nom
secuencia de aminoácido	103	36.45	secuencia de aminoácido___secuencia de aminoácidos___secuencias de aminoácidos	Nom Préposition Nom
par de base	103	36.45	par de bases___pares de bases	Nom Préposition Nom
capital	893	36.43	capital___capitales	Nom
byte	105	36.41	byte___bytes	Nom
archivo config	102	36.27	archivo config___archivos config	Nom Nom
economista	194	36.17	economista___economistas	Nom
especie	720	36.03	especie___especies	Nom
oxígeno	136	35.96	oxígeno	Nom
variable	163	35.94	variable___variables	Nom
eficiencia marginal	100	35.91	eficiencia marginal	Nom Adjectif
sys	100	35.91	sys	Nom
línea de comando	100	35.91	línea de comando___línea de comandos	Nom Préposition Nom
afinidad	141	35.75	afinidad___afinidades	Nom
bacteriana	99	35.72	bacteriana	Nom
arranque remoto	98	35.54	arranque remoto___arranque remotos	Nom Adjectif
archivo de configuración	98	35.54	archivo de configuración___archivos de configuración	Nom Préposition Nom
impresora	98	35.34	impresora	Nom
inmunoglobulina	99	35.32	inmunoglobulina	Nom
tipo celular	96	35.17	tipo celular___tipos celulares	Nom Adjectif
cd-rom	96	35.17	cd-rom	Nom
autismo	106	35.11	autismo	Nom
núcleo	349	35.1	núcleo___núcleos	Nom
barra	128	35.08	barra___barras___barrita	Nom
peseta	146	34.99	peseta___pesetas	Nom
colon	95	34.99	colon	Nom
sustrato	99	34.92	sustrato	Nom
ingeniería	224	34.87	ingeniería	Nom
autoridad administrativa	94	34.8	autoridad administrativa	Nom Nom
curva	132	34.8	curva___curvas	Nom
generación	541	34.78	generación___generaciones	Nom
conectividad	98	34.73	conectividad	Nom
tumoral	93	34.61	tumoral	Nom
secuenciación	94	34.59	secuenciación	Nom
lista de correo	94	34.59	lista de correo___lista de correos___listas de correos	Nom Préposition Nom
función de producción	96	34.56	función de producción___funciones de producción	Nom Préposition Nom
análisis	854	34.54	análisis	Nom
cloro	114	34.49	cloro	Nom
expresión génica	92	34.42	expresión génica	Nom Adjectif
médula ósea	92	34.42	médula ósea	Nom Adjectif
red local	106	34.42	red local___redes locales	Nom Adjectif
snmp	92	34.42	snmp	Nom
péptidos	92	34.42	péptidos	Nom
unidad de salario	92	34.42	unidad de salario___unidad de salarios___unidades de salario___unidades de salarios	Nom Préposition Nom
diseño	293	34.27	diseño___diseños	Nom
genomas	91	34.23	genomas	Nom
consola	92	34.21	consola	Nom
anomalía	191	34.18	anomalía___anomalías	Nom
apéndice	144	34.07	apéndice___apéndices	Nom
iones	90	34.04	iones	Nom
fermentador	90	34.04	fermentador	Nom
hipertexto	90	34.04	hipertexto	Nom
anticuerpo monoclonales	91	34.02	anticuerpos monoclonales	Nom Adjectif
fibrosis	102	34.01	fibrosis	Nom
selección	331	33.91	selección___selecciones	Nom
visualización	104	33.88	visualización	Nom
montaje	130	33.87	montaje___montajes	Nom
mapa genético	89	33.85	mapa genético___mapas genéticos	Nom Adjectif
anemia	105	33.74	anemia	Nom
consejo genético	88	33.66	consejo genético	Nom Adjectif
prom	88	33.66	prom	Nom
síntoma	187	33.54	síntoma___síntomas	Nom
nervio	108	33.53	nervio___nervios	Nom
hermano	207	33.52	hermano___hermana___hermanas	Nom
estructura	955	33.51	estructura___estructuras	Nom
sinapsis	87	33.46	sinapsis	Nom
bacterianas	87	33.46	bacterianas	Nom
capital físico	90	33.41	capital físico	Nom Adjectif
máquina	252	33.39	máquina___máquinas	Nom
meff renta	86	33.27	meff renta	Nom Adjectif
inmunitarias	86	33.27	inmunitarias	Nom
fibrosis quística	86	33.27	fibrosis quística	Nom Adjectif
velocidad	402	33.26	velocidad___velocidades	Nom
escritorio	100	33.12	escritorio___escritorios	Nom
grupo de discusión	85	33.07	grupo de discusión___grupos de discusión	Nom Préposition Nom
computador	86	33.05	computador___computadores	Nom
emisión	841	33.02	emisión___emisiones	Nom
máscara	102	33.01	máscara___máscaras	Nom
espécimen	92	33	especímenes	Nom
desocupación	90	33	desocupación	Nom
generalidad	154	32.98	generalidad___generalidades	Nom
bacteriano	84	32.87	bacteriano	Nom
miosina	84	32.87	miosina	Nom
andrógenos	84	32.87	andrógenos	Nom
datagrama	84	32.87	datagrama	Nom
proyecto genoma	84	32.87	proyecto genoma___proyectos genoma	Nom Nom
netbios	84	32.87	netbios	Nom
cromosoma sexual	84	32.87	cromosoma sexual___cromosomas sexuales	Nom Adjectif
tipo de trama	84	32.87	tipo de trama___tipos de trama___tipos de tramas	Nom Préposition Nom
azar	156	32.74	azar	Nom
factor de crecimiento	98	32.73	factor de crecimiento___factores de crecimiento	Nom Préposition Nom
esquema	216	32.66	esquema___esquemas	Nom
recurrencia	85	32.63	recurrencia	Nom
williams	82	32.48	williams	Nom
macrófagos	82	32.48	macrófagos	Nom
molécula de dna	82	32.48	molécula de dna___moléculas de dna	Nom Préposition Nom
adn	82	32.48	adn	Nom
célula somáticas	82	32.48	células somáticas	Nom Adjectif
génicos	82	32.48	génicos	Nom
cable	165	32.47	cable___cables	Nom
cap	84	32.43	cap	Nom
entrecruzamiento	84	32.43	entrecruzamiento	Nom
bioquímica	86	32.41	bioquímica	Nom
aprendizaje	331	32.38	aprendizaje	Nom
sodio	97	32.37	sodio	Nom
inmunológico	81	32.27	inmunológico	Nom
hebras	81	32.27	hebras	Nom
red interno	83	32.23	red interna___redes internas	Nom Adjectif
deposición	85	32.21	deposición	Nom
descripción	240	32.17	descripción___descripciones	Nom
conducto	143	32.17	conducto___conductos	Nom
prueba	996	32.15	prueba___pruebas	Nom
vlm	80	32.07	vlm	Nom
cebador	81	32.05	cebador	Nom
cromosoma humano	81	32.05	cromosoma humano___cromosomas humanos	Nom Adjectif
corteza	84	32.01	corteza___cortezas	Nom
hallazgo	117	32	hallazgo___hallazgos	Nom
cuerpo	406	31.98	cuerpo___cuerpos	Nom
fosfato	120	31.97	fosfato___fosfatos	Nom
entorno	435	31.91	entorno___entornos	Nom
alfa	92	31.89	alfa	Nom
supresor de tumor	79	31.87	supresor de tumor___supresores de tumor___supresores de tumores	Nom Préposition Nom
producto génico	79	31.87	producto génico	Nom Nom
lista activo	79	31.87	lista activa___listas activas	Nom Adjectif
oxigeno	80	31.84	oxigeno	Nom
polimerasa	78	31.66	polimerasa	Nom
secuencia de dna	78	31.66	secuencia de dna___secuencias de dna	Nom Préposition Nom
membrana celular	79	31.64	membrana celular___membranas celulares	Nom Adjectif
megabyte	80	31.62	megabyte___megabytes	Nom
suero	84	31.6	suero	Nom
amplificación	85	31.6	amplificación	Nom
ejemplo	2640	31.59	ejemplo___ejemplos	Nom
ciclo celular	77	31.46	ciclo celular	Nom Adjectif
polímeros	77	31.46	polímeros	Nom
carpeta	87	31.43	carpeta___carpetas	Nom
axón	76	31.25	axón	Nom
hipertensión	77	31.23	hipertensión	Nom
terminal	150	31.17	terminal___terminales	Nom
biblioteca	215	31.07	biblioteca___bibliotecas	Nom
fotografía	147	31.05	fotografía___fotografías	Nom
víricos	75	31.04	víricos	Nom
fenilalanina	75	31.04	fenilalanina	Nom
levadura	76	31.02	levadura	Nom
meta intermedio	76	31.02	meta intermedia___metas intermedias	Nom Adjectif
microscopio	77	31	microscopio	Nom
módem	77	31	módem___módems	Nom
vírica	81	30.98	vírica	Nom
dirección	971	30.95	dirección___direcciones	Nom
herramienta del usuario	74	30.83	herramientas del usuario	Nom Préposition Nom
clon	91	30.83	clon	Nom
neuraminidasa	74	30.83	neuraminidasa	Nom
deleción	74	30.83	deleción	Nom
puntuación	83	30.79	puntuación___puntuaciones	Nom
descendencia	87	30.7	descendencia	Nom
concentración	432	30.69	concentración___concentraciones	Nom
portador	104	30.65	portador___portadores	Nom
biólogos	73	30.62	biólogos	Nom
poros	73	30.62	poros	Nom
testículo	83	30.6	testículo___testículos	Nom
eritrocitos	74	30.59	eritrocitos	Nom
combinación	301	30.46	combinación___combinaciones	Nom
distancia	414	30.45	distancia___distancias	Nom
protocolo de encaminamiento	72	30.4	protocolo de encaminamiento___protocolos de encaminamiento	Nom Préposition Nom
preferred	72	30.4	preferred	Nom
archivo de cliente	72	30.4	archivos de cliente	Nom Préposition Nom
sft	72	30.4	sft	Nom
drosophila	72	30.4	drosophila	Nom
átomo de carbono	72	30.4	átomo de carbono___átomos de carbono	Nom Préposition Nom
ribosomas	72	30.4	ribosomas	Nom
secreción	73	30.38	secreción	Nom
retraso mental	74	30.36	retraso mental	Nom Adjectif
célula normal	71	30.19	célula normal___células normales	Nom Adjectif
sustratos	71	30.19	sustratos	Nom
ms-dos	71	30.19	ms-dos	Nom
dedo	198	30.17	dedo___dedos	Nom
haz	90	30.14	haz___haces	Nom
glándula	75	30.13	glándula___glándulas	Nom
expresión	595	30.05	expresión___expresiones	Nom
mitocondrial	70	29.97	mitocondrial	Nom
mapeo	70	29.97	mapeo	Nom
modificación del archivo	70	29.97	modificación del archivo	Nom Préposition Nom
nwclient	70	29.97	nwclient	Nom
nmda	70	29.97	nmda	Nom
cariotipo	70	29.97	cariotipo	Nom
asignación de unidad	70	29.97	asignación de unidad___asignación de unidades___asignaciones de unidad___asignaciones de unidades	Nom Préposition Nom
microcomputadoras	70	29.97	microcomputadoras	Nom
objeto usuario	70	29.97	objeto usuario	Nom Nom
patógeno	71	29.95	patógeno	Nom
programa de instalación	71	29.95	programa de instalación	Nom Préposition Nom
variabilidad	74	29.91	variabilidad	Nom
heterocigotos	69	29.75	heterocigotos	Nom
intensificadores	69	29.75	intensificadores	Nom
carbono	244	29.73	carbono	Nom
casete	71	29.71	casete___casetes	Nom
modem	72	29.7	modem___modems	Nom
roedor	74	29.69	roedor___roedores	Nom
especie humano	90	29.67	especie humana	Nom Adjectif
producto	1900	29.65	producto___productos	Nom
edición	161	29.6	edición___ediciones	Nom
nitrógeno	145	29.56	nitrógeno	Nom
clonación	280	29.55	clonación	Nom
sistema inmunológico	68	29.53	sistema inmunológico	Nom Nom
heredabilidad	68	29.53	heredabilidad	Nom
precio de liquidación	68	29.53	precio de liquidación___precios de liquidación	Nom Préposition Nom
directorio de cliente	68	29.53	directorio de cliente	Nom Préposition Nom
víricas	78	29.53	víricas	Nom
rasgo	205	29.52	rasgo___rasgos	Nom
retina	75	29.49	retina	Nom
capítulo anterior	71	29.48	capítulo anterior___capítulos anteriores	Nom Adjectif
testosterona	71	29.48	testosterona	Nom
genes humano	97	29.39	genes humanos	Nom Adjectif
exones	67	29.31	exones	Nom
soporte lógico	76	29.3	soporte lógico___soportes lógicos	Nom Adjectif
selección natural	69	29.27	selección natural	Nom Adjectif
línea celular	73	29.26	línea celular___líneas celulares	Nom Adjectif
reacción	501	29.26	reacción___reacciones	Nom
news	71	29.25	news	Nom
línea	1105	29.25	línea___líneas	Nom
oncogenes	66	29.09	oncogenes	Nom
datagramas	66	29.09	datagramas	Nom
vitro	66	29.09	vitro	Nom
artritis	67	29.06	artritis	Nom
retrovirus	68	29.05	retrovirus	Nom
factor ambiental	69	29.04	factor ambiental___factores ambientales	Nom Adjectif
huso	70	29.03	huso___husos	Nom
hibridación	70	29.03	hibridación	Nom
pinza	70	29.03	pinza___pinzas	Nom
modelo	864	28.97	modelo___modelos	Nom
reenvío	84	28.87	reenvío	Nom
molecular	65	28.86	molecular	Nom
visual	65	28.86	visual	Nom
disquetes	66	28.84	disquetes	Nom
sujeto	176	28.78	sujeto___sujetos	Nom
arranque	148	28.65	arranque___arranques	Nom
volumen de ocupación	64	28.64	volumen de ocupación	Nom Préposition Nom
máscara de subred	64	28.64	máscara de subred___máscaras de subred___máscara de subredes___máscaras de subredes	Nom Préposition Nom
dial-up	64	28.64	dial-up	Nom
transferencia	439	28.61	transferencia___transferencias	Nom
variante	146	28.52	variante___variantes	Nom
hígado	80	28.51	hígado	Nom
reloj	123	28.44	reloj___relojes	Nom
intrones	63	28.41	intrones	Nom
leucocitos	63	28.41	leucocitos	Nom
páncreas	63	28.41	páncreas	Nom
árbol genealógico	64	28.38	árbol genealógico	Nom Adjectif
referencia técnico	66	28.36	referencia técnica	Nom Adjectif
circuito	160	28.36	circuito___circuitos	Nom
banda	245	28.28	banda___bandas	Nom
óvulo	78	28.24	óvulo	Nom
cola	124	28.21	cola___colas	Nom
prom de arranque remoto	62	28.18	prom de arranque remoto	Nom Préposition Nom Adjectif
stack	62	28.18	stack	Nom
tripletes	62	28.18	tripletes	Nom
riesgo de recurrencia	62	28.18	riesgo de recurrencia___riesgos de recurrencia	Nom Préposition Nom
descripción general	70	28.16	descripción general	Nom Adjectif
acceso remoto	63	28.15	acceso remoto	Nom Adjectif
nombre completo	68	28.13	nombre completo___nombres completos	Nom Adjectif
ancho de banda	66	28.12	ancho de banda	Nom Préposition Nom
área	541	28.07	área___áreas	Nom
alélicas	61	27.95	alélicas	Nom
mitosis	61	27.95	mitosis	Nom
teclado	69	27.93	teclado___teclados	Nom
teoría clásico	62	27.92	teoría clásica	Nom Adjectif
transportador	62	27.92	transportador	Nom
célula epiteliales	62	27.92	células epiteliales	Nom Adjectif
hebra	63	27.9	hebra	Nom
desarrolladores	65	27.89	desarrolladores	Nom
