id,subid,topic,relational_semantic_type,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context
H01,H01_11,economy,hyp_attributif,none,[None],[None],los_ART_el inmigrantes_NC_inmigrante como_ADV_como Françoise_ADJ_Françoise son_VSfin_ser el_ART_el blanco_NC_blanco, los inmigrantes como Françoise son el blanco,"Hoa, que aceptan salarios más bajos, en tanto que los inmigrantes como Françoise son el blancodel resentimiento de Jean-Paul. Entretanto, Duo..."
H01,H01_12,economy,hyp_attributif,left,['trabajadores'],[None],la_ART_el nutrición_NC_nutrición de_PREP_de los_ART_el trabajadores_NC_trabajador son_VSfin_ser la_ART_el clave_NC_clave, la nutrición de los trabajadores son la clave,inversiones en la capacitación y el mejoramient... la nutrición de los trabajadores son la claveno sólo del bienestar de la población activa si...
H01,H01_13,economy,hyp_attributif,left,['economía'],[None],las_ART_el mujeres_NC_mujer en_PREP_en una_ART_un economía_NC_economía dada_VLadj_dar puede_VMfin_poder ser_VSinf_ser reflejo_NC_reflejo, las mujeres en una economía dada puede ser reflejo,en el mercado de trabajo. El salario más bajo de las mujeres en una economía dada puede ser ref...de su menor productividad en el empleo. En los ...
H01,H01_14,economy,hyp_attributif,left,['variables'],[None],las_ART_el variables_NC_variable del_PDEL_del primer_ORD_nu|primero miembro_NC_miembro son_VSfin_ser constantes_NC_constante, las variables del primer miembro son constantes,". De este modo, podemos escribir xxx, donde todas las variables del primer miembro son constantes. Si tomamos logaritmos y derivamos respecto de..."
H01,H01_15,economy,hyp_attributif,right,[None],['fuente'],las_ART_el actividades_NC_actividad de_PREP_de I_ALFS_I +_SYM_+ D_ALFS_D son_VSfin_ser una_ART_un fuente_NC_fuente, las actividades de I D son una fuente,sido empleado en muchos trabajos por los econom... las actividades de I D son una fuenteimportante de crecimiento económico. En el capí...
H01,H01_16,economy,hyp_attributif,left,"['tasa', 'depreciación', 'tasa de depreciación']",[None],la_ART_el tasa_NC_tasa de_PREP_de depreciación_NC_depreciación es_VSfin_ser un_ART_un determinante_NC_determinante, la tasa de depreciación es un determinante,"de esto, y como se podrá constatar más adelante, la tasa de depreciación es un determinanteimportante de la tasa de crecimiento de la econ..."
H01,H01_17,economy,hyp_attributif,right,[None],['familia'],el_ART_el agente_NC_agente representativo_ADJ_representativo es_VSfin_ser una_ART_un familia_NC_familia, el agente representativo es una familia,"A partir de Barro (1974), se supone que el agente representativo es una familiao un grupo de individuos vinculados unos con ot..."
H01,H01_18,economy,hyp_attributif,none,[None],[None],los_ART_el niños_NC_niño del_PDEL_del presente_ADJ_presente serán_VSfin_ser los_ART_el adultos_NC_adulto, los niños del presente serán los adultos,"aumentará las tasas de fertilidad en el futuro,... los niños del presente serán los adultosque ganarán estos mayores salarios. Mayores sal..."
H01,H01_19,economy,hyp_attributif,both,['fertilidad'],['variables'],la_ART_el emigración_NC_emigración y_CC_y la_ART_el fertilidad_NC_fertilidad son_VSfin_ser variables_NC_variable, la emigración y la fertilidad son variables,donde se recogen ejemplos de modelos de crecimi... la emigración y la fertilidad son variablesendógenas. Braun (1993) examina también modelos...
H01,H01_20,economy,hyp_attributif,both,"['estacionario', 'estado estacionario']",['supuesto'],el_ART_el estado_NC_estado estacionario_ADJ_estacionario es_VSfin_ser el_ART_el supuesto_NC_supuesto, el estado estacionario es el supuesto,. La razón intuitiva que explica la ausencia de... el estado estacionario es el supuestode que los rendimientos del capital son decreci...
H01,H01_21,economy,hyp_attributif,left,"['transición', 'modelo']",[None],la_ART_el transición_NC_transición Un_ART_un aspecto_NC_aspecto importante_ADJ_importante del_PDEL_del modelo_NC_modelo es_VSfin_ser la_ART_el rapidez_NC_rapidez, la transición Un aspecto importante del modelo es la rapidez,a xxx. 2 Una medida cuantitativa de la duración de la transición Un aspecto importante del modelo...con la cual la economía alcanza el nuevo estado...
H01,H01_22,economy,hyp_attributif,left,"['capital', 'físico', 'capital físico', 'participación del capital', 'participación del capital físico']",[None],la_ART_el participación_NC_participación del_PDEL_del capital_NC_capital físico_ADJ_físico es_VSfin_ser xxx_NP_xxx, la participación del capital físico es xxx,"que la velocidad de convergencia es igual a xxx... la participación del capital físico es xxxy la participación del capital humano xxx, la t..."
H01,H01_23,economy,hyp_attributif,both,"['utilidad', 'individuos']",['suma'],la_ART_el utilidad_NC_utilidad de_PREP_de los_ART_el individuos_NC_individuo es_VSfin_ser la_ART_el suma_NC_suma, la utilidad de los individuos es la suma,"población. La expresión (3. 1) indica que la utilidad de los individuos es la suma(es decir, la integral) de sus funciones instan..."
H01,H01_24,economy,hyp_attributif,left,['modelo'],[None],los_ART_el agentes_NC_agente del_PDEL_del modelo_NC_modelo son_VSfin_ser dinastías_NC_dinastía, los agentes del modelo son dinastías,"las herencias intergeneracionales. En este cont... los agentes del modelo son dinastíaso familias, siendo el número de individuos pert..."
H01,H01_25,economy,hyp_attributif,both,"['función', 'utilidad', 'función de utilidad']",['consumo'],el_ART_el argumento_NC_argumento de_PREP_de la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser el_ART_el consumo_NC_consumo, el argumento de la función de utilidad es el consumo,"cero. Condiciones análogas se aplican al trabaj... el argumento de la función de utilidad es el c...per cápita (c minúscula), mientras que en la re..."
H01,H01_26,economy,hyp_attributif,both,"['propiedades', 'neoclásicas', 'propiedades neoclásicas']",['función'],las_ART_el propiedades_NC_propiedad neoclásicas_ADJ_neoclásico es_VSfin_ser la_ART_el función_NC_función, las propiedades neoclásicas es la función,"y 2, una función de producción bastante sencill... las propiedades neoclásicas es la funciónCobb-Douglas xxx. Esta función puede reescribir..."
H01,H01_27,economy,hyp_attributif,none,[None],[None],el_ART_el consumidor_NC_consumidor es_VSfin_ser partidario_NC_partidario, el consumidor es partidario,comportan trayectorias de consumo poco lisas. P... el consumidor es partidariode intercambiar parte de su consumo futuro por ...
H01,H01_28,economy,hyp_attributif,left,['término'],[None],El_ART_el término_NC_término de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el beneficio_NC_beneficio, El término de la derecha es el beneficio,", representa el beneficio de consumir ahora [5]. El término de la derecha es el beneficioo rendimiento neto obtenido del ahorro y, por t..."
H01,H01_29,economy,hyp_attributif,right,[None],['tipo'],Una_ART_un pregunta_NC_pregunta a_PREP_a la_ART_el que_CQUE_que se_SE_se enfrentaron_VLfin_enfrentar fue_VSfin_ser el_ART_el tipo_NC_tipo, Una pregunta a la que se enfrentaron fue el tipo,los economistas neoclásicos introdujeron el cre... Una pregunta a la que se enfrentaron fue el tipode progreso técnico que se debía introducir. En...
H01,H01_30,economy,hyp_attributif,left,"['modelo', 'neoclásico', 'progreso', 'modelo neoclásico', 'progreso técnico']",[None],El_ART_el modelo_NC_modelo neoclásico_ADJ_neoclásico con_PREP_con progreso_NC_progreso técnico_ADJ_técnico Es_VSfin_ser el_ART_el momento_NC_momento, El modelo neoclásico con progreso técnico Es el momento,que las cosechas más recientes de capital son m... El modelo neoclásico con progreso técnico Es e...de regresar al progreso técnico potenciador del...
H01,H01_31,economy,hyp_attributif,left,"['función', 'utilidad', 'función de utilidad']",[None],la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser xxx_NP_xxx, la función de utilidad es xxx,". En primer lugar, la tasa efectiva de descuent... la función de utilidad es xxx, en lugar de ser xxx. En segundo lugar, la"
H01,H01_32,economy,hyp_attributif,left,"['tasa', 'depreciación', 'tasa efectiva']",[None],la_ART_el tasa_NC_tasa efectiva_ADJ_efectivo de_PREP_de depreciación_NC_depreciación es_VSfin_ser xxx_NP_xxx, la tasa efectiva de depreciación es xxx,", en lugar de ser xxx. En segundo lugar, la tasa efectiva de depreciación es xxx, en lugar de xxx. Si dejamos de lado estas dos"
H01,H01_33,economy,hyp_attributif,right,[None],['rendimiento'],El_ART_el miembro_NC_miembro de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el rendimiento_NC_rendimiento, El miembro de la derecha es el rendimiento,"futuro al presente para lograr así un consumo m... El miembro de la derecha es el rendimientode la inversión, que se reduce a la productivid..."
H01,H01_34,economy,hyp_attributif,right,[None],['capital'],una_ART_un oferta_NC_oferta neta_ADJ_neto positiva_ADJ_positivo es_VSfin_ser el_ART_el capital_NC_capital, una oferta neta positiva es el capital,"economía cerrada sin gobierno, el único activo ... una oferta neta positiva es el capital, por lo cual, necesariamente xxx. Si sustituim..."
H01,H01_35,economy,hyp_attributif,left,['producción'],[None],la_ART_el producción_NC_producción agregada_VLadj_agregar vendrá_VLfin_venir dada_VLadj_dar por_PREP_por xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx, la producción agregada vendrá dada por xxx siendo xxx,Si se utiliza una función de producción del tip... la producción agregada vendrá dada por xxx sie.... Supondremos que cada individuo representa una...
H01,H01_36,economy,hyp_attributif,none,[None],[None],EL_ART_el Hamiltoniano_NP_Hamiltoniano será_VSfin_ser xxx_NP_xxx, EL Hamiltoniano será xxx,"consecuencia, se pueden aplicar las técnicas ha... EL Hamiltoniano será xxxy las condiciones de primer orden que obtenemos..."
H01,H01_37,economy,hyp_attributif,right,[None],['inversión'],la_ART_el experiencia_NC_experiencia era_VSfin_ser la_ART_el inversión_NC_inversión, la experiencia era la inversión,"productividad. También defendía que una buena m... la experiencia era la inversión, debido a que "" cada máquina nueva que es prod..."
H01,H01_38,economy,hyp_attributif,both,['índice'],['inversión'],un_ART_un índice_NC_índice de_PREP_de experiencia_NC_experiencia es_VSfin_ser la_ART_el inversión_NC_inversión, un índice de experiencia es la inversión,"estímulos "" (p. 157). Esto implica que un índice de experiencia es la inversiónacumulada o, lo que es lo mismo, el stock de"
H01,H01_39,economy,hyp_attributif,both,"['número', 'economía']",['número'],el_ART_el número_NC_número de_PREP_de empresas_NC_empresa de_PREP_de la_ART_el economía_NC_economía sea_VSfin_ser un_ART_un número_NC_número, el número de empresas de la economía sea un número,"en un modelo AK de crecimiento endógeno. Supong... el número de empresas de la economía sea un nú...muy elevado xxx, constante. Puesto que xxx es g..."
H01,H01_40,economy,hyp_attributif,left,"['unidad', 'escala']",[None],la_ART_el unidad_NC_unidad de_PREP_de escala_NC_escala relevante_ADJ_relevante sería_VSfin_ser el_ART_el área_NC_área, la unidad de escala relevante sería el área,personajes de sangre azul. De acuerdo con el mo... la unidad de escala relevante sería el áreaen la cual un determinado tipo de conocimiento ...
H01,H01_41,economy,hyp_attributif,both,"['efectos', 'escala', 'efectos de escala']",['supuesto'],los_ART_el efectos_NC_efecto de_PREP_de escala_NC_escala es_VSfin_ser el_ART_el supuesto_NC_supuesto, los efectos de escala es el supuesto,"vez mayor. Técnicamente, la razón que está detr... los efectos de escala es el supuestode que la externalidad depende del volumen agre..."
H01,H01_42,economy,hyp_attributif,both,"['capital', 'físico', 'capital físico']",['bienes'],el_ART_el capital_NC_capital físico_ADJ_físico y_CC_y el_ART_el humano_ADJ_humano eran_VSfin_ser bienes_NC_bien, el capital físico y el humano eran bienes,"implícitos en nuestro argumento se apoyaba en e... el capital físico y el humano eran bienessimilares, en el sentido de que ambos podían se..."
H01,H01_43,economy,hyp_attributif,both,"['capital', 'físico', 'capital físico']",['bienes'],el_ART_el capital_NC_capital físico_ADJ_físico y_CC_y el_ART_el humano_ADJ_humano son_VSfin_ser bienes_NC_bien, el capital físico y el humano son bienes,"la misma tecnología. Sin embargo, se podría arg... el capital físico y el humano son bienescon unas propiedades enteramente diferenciadas...."
H01,H01_44,economy,hyp_attributif,both,"['factores', 'producción', 'factores de producción']",['capital'],los_ART_el factores_NC_factor de_PREP_de producción_NC_producción son_VSfin_ser el_ART_el capital_NC_capital, los factores de producción son el capital,") parte de una función de producción Cobb-Dougl... los factores de producción son el capitalfísico y el humano, de modo que la producción v..."
H01,H01_45,economy,hyp_attributif,left,"['tasas', 'crecimiento', 'tasas de crecimiento']",[None],las_ART_el tasas_NC_tasa de_PREP_de crecimiento_NC_crecimiento son_VSfin_ser xxx_NP_xxx, las tasas de crecimiento son xxx,". Vemos que, en ausencia de externalidades, xxx, las tasas de crecimiento son xxx. Es interesante observar que esta expresión es..."
H01,H01_46,economy,hyp_attributif,left,['crecimiento'],[None],el_ART_el crecimiento_NC_crecimiento es_VSfin_ser xxx_NP_xxx, el crecimiento es xxx,La única diferencia es que el parámetro de prod... el crecimiento es xxx(la productividad del sector educativo) en luga...
H01,H01_47,economy,hyp_attributif,left,['más'],[None],los_ART_el descubrimientos_NC_descubrimiento más_ADV_más interesantes_ADJ_interesante es_VSfin_ser la_ART_el aparición_NC_aparición, los descubrimientos más interesantes es la aparición,"estado estacionario. AL margen de este hecho, u... los descubrimientos más interesantes es la apa...de un comportamiento asimétrico entre xxx y xxx..."
H01,H01_48,economy,hyp_attributif,both,['modelos'],['existencia'],El_ART_el elemento_NC_elemento común_ADJ_común de_PREP_de todos_QU_todo esos_DM_ese modelos_NC_modelo es_VSfin_ser la_ART_el existencia_NC_existencia, El elemento común de todos esos modelos es la existencia,relaciona con la tasa agregada de crecimiento d... El elemento común de todos esos modelos es la ...de empresas dedicadas a la investigación y el d...
H01,H01_49,economy,hyp_attributif,both,['resultado'],['progreso'],el_ART_el resultado_NC_resultado de_PREP_de la_ART_el cual_REL_cual es_VSfin_ser el_ART_el progreso_NC_progreso, el resultado de la cual es el progreso,Se entabla pues una guerra tecnológica entre lí... el resultado de la cual es el progresotecnológico. Para modelos de escaleras de calid...
H01,H01_50,economy,hyp_attributif,both,['parámetro'],['trabajo'],un_ART_un parámetro_NC_parámetro tecnológico_ADJ_tecnológico y_CC_y xxx_NP_xxx es_VSfin_ser el_ART_el trabajo_NC_trabajo, un parámetro tecnológico y xxx es el trabajo,"xxx siendo xxx los bienes intermedios de capita... un parámetro tecnológico y xxx es el trabajo. En otras palabras, la producción se obtiene a..."
H01,H01_51,economy,hyp_attributif,both,['bien'],['número'],el_ART_el bien_NC_bien que_CQUE_que se_SE_se acumula_VLfin_acumular es_VSfin_ser el_ART_el número_NC_número, el bien que se acumula es el número,"no es más que un modelo xxx, en el cual el bien que se acumula es el númerode bienes de capital xxx). Las empresas contrat..."
H01,H01_52,economy,hyp_attributif,left,['precio'],[None],el_ART_el precio_NC_precio de_PREP_de tales_QU_tal activos_NC_activo es_VSfin_ser un_ART_un margen_NC_margen, el precio de tales activos es un margen,"ecuación (9. 11) indica, pues, que el precio de tales activos es un margenconstante sobre el coste marginal, siendo el ma..."
H01,H01_53,economy,hyp_attributif,both,['tecnología'],['bien'],El_ART_el motivo_NC_motivo es_VSfin_ser que_CQUE_que la_ART_el tecnología_NC_tecnología es_VSfin_ser un_ART_un bien_NC_bien, El motivo es que la tecnología es un bien,"en el capítulo 7, presenta un efecto de escala. El motivo es que la tecnología es un bienno rival: el coste de desarrollar un nuevo prod..."
H01,H01_54,economy,hyp_attributif,none,[None],[None],los_ART_el costes_NC_coste de_PREP_de I_ALFS_I +_SYM_+ D_ALFS_D son_VSfin_ser constantes_NC_constante, los costes de I D son constantes,"las dos fuerzas opuestas sean del mismo tamaño,... los costes de I D son constantestal y como ocurre con nuestro modelo, lo que pe..."
H01,H01_55,economy,hyp_attributif,none,[None],[None],la_ART_el Economía_NP_Economía Política_ADJ_político es_VSfin_ser una_ART_un investigación_NC_investigación, la Economía Política es una investigación,"9 de octubre de 1820: "" Ud. supone que la Economía Política es una investigaciónde la naturaleza y causas de la riqueza -y yo e..."
H01,H01_56,economy,hyp_attributif,both,"['costo', 'uso', 'costo de uso']",['ganancia'],el_ART_el costo_NC_costo de_PREP_de uso_NC_uso es_VSfin_ser la_ART_el ganancia_NC_ganancia, el costo de uso es la ganancia,"la producción resultante sobre la suma del cost... el costo de uso es la ganancia, o, como lo llamaremos, el ingreso del empresa..."
H01,H01_57,economy,hyp_attributif,left,"['costo', 'factores']",[None],el_ART_el costo_NC_costo de_PREP_de los_ART_el otros_QU_otro factores_NC_factor son_VSfin_ser constantes_NC_constante, el costo de los otros factores son constantes,oportunidad. En este resumen supondremos que el... el costo de los otros factores son constantespor unidad de trabajo empleado; pero esta simpl...
H01,H01_58,economy,hyp_attributif,left,"['salarios', 'nominales', 'salarios nominales']",[None],los_ART_el salarios_NC_salario nominales_ADJ_nominal son_VSfin_ser constantes_NC_constante, los salarios nominales son constantes,"cambios en D son compatibles con nuestro supues... los salarios nominales son constantes. Por esta razón será necesario, para realizar ..."
H01,H01_59,economy,hyp_attributif,both,['casos'],['suposición'],la_ART_el mayoría_NC_mayoría de_PREP_de los_ART_el casos_NC_caso es_VSfin_ser la_ART_el suposición_NC_suposición, la mayoría de los casos es la suposición,"a su eficacia en el empleo específico real (que en la mayoría de los casos es la suposiciónrealista que debe hacerse), la eficacia descend..."
H01,H01_60,economy,hyp_attributif,left,"['descendente', 'trabajo']",[None],la_ART_el eficacia_NC_eficacia descendente_ADJ_descendente del_PDEL_del trabajo_NC_trabajo empleado_VLadj_emplear es_VSfin_ser un_ART_un ejemplo_NC_ejemplo, la eficacia descendente del trabajo empleado es un ejemplo,"los casos es la suposición realista que debe ha... la eficacia descendente del trabajo empleado e...sobresaliente del alza del precio de oferta, cu..."
H01,H01_61,economy,hyp_attributif,left,"['inversión', 'ahorro']",[None],la_ART_el inversión_NC_inversión sobre_PREP_sobre el_ART_el ahorro_NC_ahorro era_VSfin_ser la_ART_el fuerza_NC_fuerza, la inversión sobre el ahorro era la fuerza,1] Dije allí que el cambio en el excedente de la inversión sobre el ahorro era la fuerzamotora que regia las modificaciones en el volum...
H01,H01_62,economy,hyp_attributif,both,"['excedente', 'ahorro']",['fenómeno'],un_ART_un excedente_NC_excedente forzado_ADJ_forzado de_PREP_de ahorro_NC_ahorro sería_VSfin_ser un_ART_un fenómeno_NC_fenómeno, un excedente forzado de ahorro sería un fenómeno,"plazo "". Esta definición tendría sentido, pero ... un excedente forzado de ahorro sería un fenómenomuy raro e inestable, y una deficiencia forzada..."
H01,H01_63,economy,hyp_attributif,none,[None],[None],el_ART_el momento_NC_momento en_PREP_en que_CQUE_que esto_DM_este es_VSfin_ser una_ART_un concomitancia_NC_concomitancia, el momento en que esto es una concomitancia,alza de la unidad de salarios en términos monet... el momento en que esto es una concomitanciafrecuente de la mejoría en la ocupación); y est...
H01,H01_64,economy,hyp_attributif,both,"['tasa', 'interés', 'tasa de interés']",['factor'],la_ART_el tasa_NC_tasa de_PREP_de interés_NC_interés era_VSfin_ser el_ART_el factor_NC_factor, la tasa de interés era el factor,"de interés, que se basó en la idea de que la tasa de interés era el factorque ponía en equilibrio la oferta y la demanda ..."
H01,H01_65,economy,hyp_attributif,both,"['propensión', 'consumir']",['función'],la_ART_el propensión_NC_propensión a_PREP_a consumir_VLinf_consumir es_VSfin_ser una_ART_un función_NC_función, la propensión a consumir es una función,"la función de demanda global. Admitido, pues, que la propensión a consumir es una funciónbastante estable, de tal manera que, por lo gen..."
H01,H01_66,economy,hyp_attributif,both,['ocupación'],['función'],la_ART_el ocupación_NC_ocupación es_VSfin_ser función_NC_función, la ocupación es función,"la importancia del hecho ya mencionado antes de... la ocupación es funcióndel consumo y la inversión previstos, el consum..."
H01,H01_67,economy,hyp_attributif,left,"['aumento', 'riqueza', 'aumento de riqueza']",[None],el_ART_el aumento_NC_aumento de_PREP_de riqueza_NC_riqueza ha_VHfin_haber sido_VSadj_ser motivo_NC_motivo, el aumento de riqueza ha sido motivo,"de paso, que el efecto de la política fiscal sobre el aumento de riqueza ha sido motivode importante confusión, que, sin embargo no po..."
H01,H01_68,economy,hyp_attributif,both,"['valor', 'inversiones']",['consecuencia'],el_ART_el valor_NC_valor de_PREP_de las_ART_el inversiones_NC_inversión fueran_VSfin_ser consecuencia_NC_consecuencia, el valor de las inversiones fueran consecuencia,y procederemos en las secciones siguientes como... el valor de las inversiones fueran consecuenciasolamente de cambios de la expectativa de sus r...
H01,H01_69,economy,hyp_attributif,right,[None],['propiedad'],las_ART_el empresas_NC_empresa eran_VSfin_ser propiedad_NC_propiedad, las empresas eran propiedad,"gobierna el mercado. En otros tiempos, cuando c... las empresas eran propiedadde los empresarios o de sus amigos y asociados,..."
H01,H01_70,economy,hyp_attributif,none,[None],[None],un_ART_un juego_NC_juego que_CQUE_que era_VSfin_ser una_ART_un mezcla_NC_mezcla, un juego que era una mezcla,"esperanzas que indujeron a invertir. Los hombre... un juego que era una mezclade habilidad y suerte, cuyo resultado medio par..."
H01,H01_71,economy,hyp_attributif,left,['doctrina'],[None],la_ART_el doctrina_NC_doctrina según_PREP_según la_ART_el cual_REL_cual es_VSfin_ser una_ART_un virtud_NC_virtud, la doctrina según la cual es una virtud,", es más antisocial que el fetiche de la liquidez, la doctrina según la cual es una virtudpositiva de las instituciones de inversión conc..."
H01,H01_72,economy,hyp_attributif,left,"['promedio', 'opinión promedio']",[None],la_ART_el opinión_NC_opinión promedio_NC_promedio espera_VLfin_esperar que_CQUE_que sea_VSfin_ser la_ART_el opinión_NC_opinión, la opinión promedio espera que sea la opinión,"grado en el que dedicamos nuestra inteligencia ... la opinión promedio espera que sea la opiniónpromedio. Y existen algunos, según creo, que pr..."
H01,H01_73,economy,hyp_attributif,left,"['media', 'opinión media']",[None],la_ART_el opinión_NC_opinión media_ADJ_medio cree_VLfin_crear|creer que_CQUE_que será_VSfin_ser la_ART_el opinión_NC_opinión, la opinión media cree que será la opinión,los norteamericanos son capaces de interesarse ... la opinión media cree que será la opiniónmedia; y esta debilidad nacional encuentra su N...
H01,H01_74,economy,hyp_attributif,right,[None],['ventaja'],LOS_ART_el SALARIOS_NC_salario NOMINALES_ADJ_nominal Habría_VHfin_haber sido_VSadj_ser una_ART_un ventaja_NC_ventaja, LOS SALARIOS NOMINALES Habría sido una ventaja,los mercados de artículos distintos a los valor... LOS SALARIOS NOMINALES Habría sido una ventajahaber podido examinar los efectos de un cambio ...
H01,H01_75,economy,hyp_attributif,both,"['baja', 'salarios', 'nominales', 'salarios nominales']",['reducción'],la_ART_el baja_NC_baja de_PREP_de los_ART_el salarios_NC_salario nominales_ADJ_nominal es_VSfin_ser una_ART_un reducción_NC_reducción, la baja de los salarios nominales es una reducción,"2 Si nos referimos a un sistema no cerrado, y la baja de los salarios nominales es una reduc...relativamente a los salarios nominales en el ex..."
H01,H01_76,economy,hyp_attributif,both,"['baja', 'salarios', 'nominales', 'salarios nominales']",['reducción'],la_ART_el baja_NC_baja de_PREP_de los_ART_el salarios_NC_salario nominales_ADJ_nominal sea_VSfin_ser una_ART_un reducción_NC_reducción, la baja de los salarios nominales sea una reducción,de la propensión a consumir. 4 Si se espera que la baja de los salarios nominales sea una redu...relativamente a los salarios nominales en el fu...
H01,H01_77,economy,hyp_attributif,none,[None],[None],un_ART_un decreto_NC_decreto administrativo_ADJ_administrativo y_CC_y es_VSfin_ser una_ART_un política_NC_política, un decreto administrativo y es una política,fortalecer la demanda efectiva; pero esto sólo ... un decreto administrativo y es una políticapoco práctica en un sistema de libre contrataci...
H01,H01_78,economy,hyp_attributif,both,"['cantidad', 'dinero', 'excedente', 'cantidad de dinero']",['proporción'],la_ART_el cantidad_NC_cantidad de_PREP_de dinero_NC_dinero excedente_ADJ_excedente es_VSfin_ser una_ART_un proporción_NC_proporción, la cantidad de dinero excedente es una proporción,"sobre los precios. Entrarán en juego las tenden... la cantidad de dinero excedente es una proporciónanormalmente baja del ingreso nacional. Así, el..."
H01,H01_79,economy,hyp_attributif,both,"['mercado', 'valores', 'alza', 'mercado de valores']",['condición'],un_ART_un mercado_NC_mercado de_PREP_de valores_NC_valor al_PAL_al alza_NP_alza puede_VMfin_poder ser_VSinf_ser condición_NC_condición, un mercado de valores al alza puede ser condición,"accionista "" como el de Estados Unidos en la ac... un mercado de valores al alza puede ser condicióncasi esencial de una propensión a consumir sati..."
H01,H01_80,economy,hyp_attributif,both,['sobreinversión'],['característica'],la_ART_el sobreinversión_NC_sobreinversión es_VSfin_ser la_ART_el característica_NC_característica, la sobreinversión es la característica,"de acuerdo con el punto de vista de quienes sos... la sobreinversión es la característicadel auge, que el único remedio posible para la ..."
