id,presence,candidate_term_left,candidate_term_right,occurrence,full_context,topic,sub_id,relational_semantic_type
H1,both,"['propiedades', 'neoclásicas', 'propiedades neoclásicas']",['función'], las propiedades neoclásicas es la función,"y 2, una función de producción bastante sencilla que satisface las propiedades neoclásicas es la funciónCobb-Douglas xxx. Esta función puede reescribirse en términos per cápita del",economy,H1_economy_26,hyp_attributif
H1,none,[None],[None], el consumidor es partidario,"comportan trayectorias de consumo poco lisas. Por lo tanto, el consumidor es partidariode intercambiar parte de su consumo futuro por consumo presente. Esto",economy,H1_economy_27,hyp_attributif
H1,left,['término'],[None], El término de la derecha es el beneficio,", representa el beneficio de consumir ahora [5]. El término de la derecha es el beneficioo rendimiento neto obtenido del ahorro y, por tanto, de",economy,H1_economy_28,hyp_attributif
H1,right,[None],['tipo'], Una pregunta a la que se enfrentaron fue el tipo,"los economistas neoclásicos introdujeron el crecimiento exógeno de la productividad. Una pregunta a la que se enfrentaron fue el tipode progreso técnico que se debía introducir. En la práctica,",economy,H1_economy_29,hyp_attributif
H1,left,"['modelo', 'neoclásico', 'progreso', 'modelo neoclásico', 'progreso técnico']",[None], El modelo neoclásico con progreso técnico Es el momento,"que las cosechas más recientes de capital son más productivas. El modelo neoclásico con progreso técnico Es el momentode regresar al progreso técnico potenciador del trabajo, que expresamos en",economy,H1_economy_30,hyp_attributif
H1,left,"['función', 'utilidad', 'función de utilidad']",[None], la función de utilidad es xxx,". En primer lugar, la tasa efectiva de descuento de la función de utilidad es xxx, en lugar de ser xxx. En segundo lugar, la",economy,H1_economy_31,hyp_attributif
H1,left,"['tasa', 'depreciación', 'tasa efectiva']",[None], la tasa efectiva de depreciación es xxx,", en lugar de ser xxx. En segundo lugar, la tasa efectiva de depreciación es xxx, en lugar de xxx. Si dejamos de lado estas dos",economy,H1_economy_32,hyp_attributif
H1,right,[None],['rendimiento'], El miembro de la derecha es el rendimiento,"futuro al presente para lograr así un consumo más liso. El miembro de la derecha es el rendimientode la inversión, que se reduce a la productividad marginal neta",economy,H1_economy_33,hyp_attributif
H1,right,[None],['capital'], una oferta neta positiva es el capital,"economía cerrada sin gobierno, el único activo del que existe una oferta neta positiva es el capital, por lo cual, necesariamente xxx. Si sustituimos este resultado",economy,H1_economy_34,hyp_attributif
H1,left,['producción'],[None], la producción agregada vendrá dada por xxx siendo xxx,"Si se utiliza una función de producción del tipo Cobb-Douglas, la producción agregada vendrá dada por xxx siendo xxx. Supondremos que cada individuo representa una parte muy reducida del tamaño",economy,H1_economy_35,hyp_attributif
H1,none,[None],[None], EL Hamiltoniano será xxx,"consecuencia, se pueden aplicar las técnicas habituales de optimización. EL Hamiltoniano será xxxy las condiciones de primer orden que obtenemos son: xxx.",economy,H1_economy_36,hyp_attributif
H1,right,[None],['inversión'], la experiencia era la inversión,"productividad. También defendía que una buena medida del aumento de la experiencia era la inversión, debido a que "" cada máquina nueva que es producida y",economy,H1_economy_37,hyp_attributif
H1,both,['índice'],['inversión'], un índice de experiencia es la inversión,"estímulos "" (p. 157). Esto implica que un índice de experiencia es la inversiónacumulada o, lo que es lo mismo, el stock de",economy,H1_economy_38,hyp_attributif
H1,both,"['número', 'economía']",['número'], el número de empresas de la economía sea un número,"en un modelo AK de crecimiento endógeno. Supongamos ahora que el número de empresas de la economía sea un númeromuy elevado xxx, constante. Puesto que xxx es grande,",economy,H1_economy_39,hyp_attributif
H1,left,"['unidad', 'escala']",[None], la unidad de escala relevante sería el área,"personajes de sangre azul. De acuerdo con el modelo, la unidad de escala relevante sería el áreaen la cual un determinado tipo de conocimiento se desborda. Es",economy,H1_economy_40,hyp_attributif
H1,both,"['efectos', 'escala', 'efectos de escala']",['supuesto'], los efectos de escala es el supuesto,"vez mayor. Técnicamente, la razón que está detrás de los efectos de escala es el supuestode que la externalidad depende del volumen agregado de capital. Una",economy,H1_economy_41,hyp_attributif
H1,both,"['capital', 'físico', 'capital físico']",['bienes'], el capital físico y el humano eran bienes,"implícitos en nuestro argumento se apoyaba en el hecho de que el capital físico y el humano eran bienessimilares, en el sentido de que ambos podían ser acumulados a",economy,H1_economy_42,hyp_attributif
H1,both,"['capital', 'físico', 'capital físico']",['bienes'], el capital físico y el humano son bienes,"la misma tecnología. Sin embargo, se podría argumentar que el capital físico y el humano son bienescon unas propiedades enteramente diferenciadas. En particular, la función de",economy,H1_economy_43,hyp_attributif
H1,both,"['factores', 'producción', 'factores de producción']",['capital'], los factores de producción son el capital,") parte de una función de producción Cobb-Douglas en la que los factores de producción son el capitalfísico y el humano, de modo que la producción viene dada",economy,H1_economy_44,hyp_attributif
H1,left,"['tasas', 'crecimiento', 'tasas de crecimiento']",[None], las tasas de crecimiento son xxx,". Vemos que, en ausencia de externalidades, xxx, las tasas de crecimiento son xxx. Es interesante observar que esta expresión es similar a la tasa",economy,H1_economy_45,hyp_attributif
H1,left,['crecimiento'],[None], el crecimiento es xxx,La única diferencia es que el parámetro de productividad relevante para el crecimiento es xxx(la productividad del sector educativo) en lugar de xxx (,economy,H1_economy_46,hyp_attributif
H1,left,['más'],[None], los descubrimientos más interesantes es la aparición,"estado estacionario. AL margen de este hecho, uno de los descubrimientos más interesantes es la apariciónde un comportamiento asimétrico entre xxx y xxx: la tasa de",economy,H1_economy_47,hyp_attributif
H1,both,['modelos'],['existencia'], El elemento común de todos esos modelos es la existencia,relaciona con la tasa agregada de crecimiento de la economía. El elemento común de todos esos modelos es la existenciade empresas dedicadas a la investigación y el desarrollo (I +,economy,H1_economy_48,hyp_attributif
H1,both,['resultado'],['progreso'], el resultado de la cual es el progreso,"Se entabla pues una guerra tecnológica entre líderes y seguidores, el resultado de la cual es el progresotecnológico. Para modelos de escaleras de calidad y crecimiento, véase",economy,H1_economy_49,hyp_attributif
H1,both,['parámetro'],['trabajo'], un parámetro tecnológico y xxx es el trabajo,"xxx siendo xxx los bienes intermedios de capital, xxx es un parámetro tecnológico y xxx es el trabajo. En otras palabras, la producción se obtiene a partir de",economy,H1_economy_50,hyp_attributif
H1,both,['bien'],['número'], el bien que se acumula es el número,"no es más que un modelo xxx, en el cual el bien que se acumula es el númerode bienes de capital xxx). Las empresas contratan el trabajo",economy,H1_economy_51,hyp_attributif
H1,left,['precio'],[None], el precio de tales activos es un margen,"ecuación (9. 11) indica, pues, que el precio de tales activos es un margenconstante sobre el coste marginal, siendo el margen una función de",economy,H1_economy_52,hyp_attributif
H1,both,['tecnología'],['bien'], El motivo es que la tecnología es un bien,"en el capítulo 7, presenta un efecto de escala. El motivo es que la tecnología es un bienno rival: el coste de desarrollar un nuevo producto es independiente",economy,H1_economy_53,hyp_attributif
H1,none,[None],[None], los costes de I D son constantes,"las dos fuerzas opuestas sean del mismo tamaño, tendremos que los costes de I D son constantestal y como ocurre con nuestro modelo, lo que permite generar",economy,H1_economy_54,hyp_attributif
H1,none,[None],[None], la Economía Política es una investigación,"9 de octubre de 1820: "" Ud. supone que la Economía Política es una investigaciónde la naturaleza y causas de la riqueza -y yo estimo que",economy,H1_economy_55,hyp_attributif
H1,both,"['costo', 'uso', 'costo de uso']",['ganancia'], el costo de uso es la ganancia,"la producción resultante sobre la suma del costo de factores y el costo de uso es la ganancia, o, como lo llamaremos, el ingreso del empresario.",economy,H1_economy_56,hyp_attributif
H1,left,"['costo', 'factores']",[None], el costo de los otros factores son constantes,"oportunidad. En este resumen supondremos que el salario nominal y el costo de los otros factores son constantespor unidad de trabajo empleado; pero esta simplificación, de la",economy,H1_economy_57,hyp_attributif
H1,left,"['salarios', 'nominales', 'salarios nominales']",[None], los salarios nominales son constantes,"cambios en D son compatibles con nuestro supuesto provisional de que los salarios nominales son constantes. Por esta razón será necesario, para realizar una exposición más",economy,H1_economy_58,hyp_attributif
H1,both,['casos'],['suposición'], la mayoría de los casos es la suposición,"a su eficacia en el empleo específico real (que en la mayoría de los casos es la suposiciónrealista que debe hacerse), la eficacia descendente del trabajo empleado",economy,H1_economy_59,hyp_attributif
H1,left,"['descendente', 'trabajo']",[None], la eficacia descendente del trabajo empleado es un ejemplo,"los casos es la suposición realista que debe hacerse), la eficacia descendente del trabajo empleado es un ejemplosobresaliente del alza del precio de oferta, cuando crece la producción",economy,H1_economy_60,hyp_attributif
H1,left,"['inversión', 'ahorro']",[None], la inversión sobre el ahorro era la fuerza,1] Dije allí que el cambio en el excedente de la inversión sobre el ahorro era la fuerzamotora que regia las modificaciones en el volumen de la producción.,economy,H1_economy_61,hyp_attributif
H1,both,"['excedente', 'ahorro']",['fenómeno'], un excedente forzado de ahorro sería un fenómeno,"plazo "". Esta definición tendría sentido, pero significaría que un excedente forzado de ahorro sería un fenómenomuy raro e inestable, y una deficiencia forzada de ahorro el",economy,H1_economy_62,hyp_attributif
H1,none,[None],[None], el momento en que esto es una concomitancia,alza de la unidad de salarios en términos monetarios (desde el momento en que esto es una concomitanciafrecuente de la mejoría en la ocupación); y estas tendencias,economy,H1_economy_63,hyp_attributif
H1,both,"['tasa', 'interés', 'tasa de interés']",['factor'], la tasa de interés era el factor,"de interés, que se basó en la idea de que la tasa de interés era el factorque ponía en equilibrio la oferta y la demanda de ahorros,",economy,H1_economy_64,hyp_attributif
H1,both,"['propensión', 'consumir']",['función'], la propensión a consumir es una función,"la función de demanda global. Admitido, pues, que la propensión a consumir es una funciónbastante estable, de tal manera que, por lo general,",economy,H1_economy_65,hyp_attributif
H1,both,['ocupación'],['función'], la ocupación es función,"la importancia del hecho ya mencionado antes de que, mientras la ocupación es funcióndel consumo y la inversión previstos, el consumo es, ceteris",economy,H1_economy_66,hyp_attributif
H1,left,"['aumento', 'riqueza', 'aumento de riqueza']",[None], el aumento de riqueza ha sido motivo,"de paso, que el efecto de la política fiscal sobre el aumento de riqueza ha sido motivode importante confusión, que, sin embargo no podemos examinar adecuadamente",economy,H1_economy_67,hyp_attributif
H1,both,"['valor', 'inversiones']",['consecuencia'], el valor de las inversiones fueran consecuencia,y procederemos en las secciones siguientes como si los cambios en el valor de las inversiones fueran consecuenciasolamente de cambios de la expectativa de sus rendimientos probables y de,economy,H1_economy_68,hyp_attributif
H1,right,[None],['propiedad'], las empresas eran propiedad,"gobierna el mercado. En otros tiempos, cuando casi todas las empresas eran propiedadde los empresarios o de sus amigos y asociados, la inversión",economy,H1_economy_69,hyp_attributif
H1,none,[None],[None], un juego que era una mezcla,"esperanzas que indujeron a invertir. Los hombres de negocios jugaban un juego que era una mezclade habilidad y suerte, cuyo resultado medio para los jugadores es",economy,H1_economy_70,hyp_attributif
H1,left,['doctrina'],[None], la doctrina según la cual es una virtud,", es más antisocial que el fetiche de la liquidez, la doctrina según la cual es una virtudpositiva de las instituciones de inversión concentrar sus recursos en la posesión",economy,H1_economy_71,hyp_attributif
H1,left,"['promedio', 'opinión promedio']",[None], la opinión promedio espera que sea la opinión,"grado en el que dedicamos nuestra inteligencia a anticipar lo que la opinión promedio espera que sea la opiniónpromedio. Y existen algunos, según creo, que practican los",economy,H1_economy_72,hyp_attributif
H1,left,"['media', 'opinión media']",[None], la opinión media cree que será la opinión,los norteamericanos son capaces de interesarse demasiado por descubrir lo que la opinión media cree que será la opiniónmedia; y esta debilidad nacional encuentra su Némesis en el mercado,economy,H1_economy_73,hyp_attributif
H1,right,[None],['ventaja'], LOS SALARIOS NOMINALES Habría sido una ventaja,los mercados de artículos distintos a los valores. MODIFICACIONES EN LOS SALARIOS NOMINALES Habría sido una ventajahaber podido examinar los efectos de un cambio en los salarios nominales,economy,H1_economy_74,hyp_attributif
H1,both,"['baja', 'salarios', 'nominales', 'salarios nominales']",['reducción'], la baja de los salarios nominales es una reducción,"2 Si nos referimos a un sistema no cerrado, y la baja de los salarios nominales es una reducciónrelativamente a los salarios nominales en el exterior cuando ambos se convierten",economy,H1_economy_75,hyp_attributif
H1,both,"['baja', 'salarios', 'nominales', 'salarios nominales']",['reducción'], la baja de los salarios nominales sea una reducción,"de la propensión a consumir. 4 Si se espera que la baja de los salarios nominales sea una reducciónrelativamente a los salarios nominales en el futuro, el cambio será",economy,H1_economy_76,hyp_attributif
H1,none,[None],[None], un decreto administrativo y es una política,fortalecer la demanda efectiva; pero esto sólo podría lograrse por un decreto administrativo y es una políticapoco práctica en un sistema de libre contratación del trabajo. Por,economy,H1_economy_77,hyp_attributif
H1,both,"['cantidad', 'dinero', 'excedente', 'cantidad de dinero']",['proporción'], la cantidad de dinero excedente es una proporción,"sobre los precios. Entrarán en juego las tendencias opuestas si la cantidad de dinero excedente es una proporciónanormalmente baja del ingreso nacional. Así, el efecto neto de",economy,H1_economy_78,hyp_attributif
H1,both,"['mercado', 'valores', 'alza', 'mercado de valores']",['condición'], un mercado de valores al alza puede ser condición,"accionista "" como el de Estados Unidos en la actualidad, un mercado de valores al alza puede ser condicióncasi esencial de una propensión a consumir satisfactoria; y esta circunstancia",economy,H1_economy_79,hyp_attributif
H1,both,['sobreinversión'],['característica'], la sobreinversión es la característica,"de acuerdo con el punto de vista de quienes sostienen que la sobreinversión es la característicadel auge, que el único remedio posible para la siguiente depresión",economy,H1_economy_80,hyp_attributif
H1,both,"['sobreinversión', 'sentido']",['característica'], la sobreinversión en este sentido fuera una característica,"puro desperdicio de recursos. [4] Además, aunque la sobreinversión en este sentido fuera una característicanormal del auge, el remedio no estaría en imponer de súbito",economy,H1_economy_81,hyp_attributif
H1,left,['auge'],[None], El auge es una situación,"dura, impide que esta tasa sea un obstáculo real. El auge es una situacióntal que el exceso de optimismo triunfa sobre una tasa de interés",economy,H1_economy_82,hyp_attributif
H1,both,"['alza', 'precios']",['subproducto'], el alza de los precios sólo es un subproducto,"mayor producción lo que provoca el incremento del ahorro; y el alza de los precios sólo es un subproductodel aumento de productos, que igual ocurrirá, si no hay",economy,H1_economy_83,hyp_attributif
H1,right,[None],['viejo'], la paz que lo ha sido el viejo,he dicho que el nuevo sistema podría ser más favorable a la paz que lo ha sido el viejo. Vale la pena repetir y subrayar ese aspecto. La guerra,economy,H1_economy_84,hyp_attributif
H1,both,['historia'],['fuente'], la historia es una fuente,"lamentables consecuencias de la anterior argumentación. Primera: puesto que la historia es una fuenteimportante -aunque no la única- del material del economista, y puesto",economy,H1_economy_85,hyp_attributif
H1,both,"['economista', 'mismo']",['producto'], el economista mismo es un producto,"del material del economista, y puesto que, además, el economista mismo es un productode su propia época y de todo el tiempo anterior, el",economy,H1_economy_86,hyp_attributif
H1,left,"['historia', 'historia económica']",[None], la historia económica es una parte,": hemos de registrar resueltamente el hecho de que, como la historia económica es una partede la economía, las técnicas del historiador son como pasajeros en",economy,H1_economy_87,hyp_attributif
H1,left,"['métodos', 'estadísticos', 'métodos estadísticos']",[None], los métodos estadísticos son parte,"programa. Pero reconoceremos, en principio al menos, que los métodos estadísticos son partede los instrumentos del análisis económico, aunque no hayan sido construidos",economy,H1_economy_88,hyp_attributif
H1,left,"['punto', 'estrictamente']",[None], un punto de vista estrictamente lógico son creaciones,"teniendo en cuenta las observaciones hechas, sin embargo, desde un punto de vista estrictamente lógico son creacioneslibres del análisis. [10] Difieren de las hipótesis de",economy,H1_economy_89,hyp_attributif
H1,both,"['teoría', 'teoría económica']",['caja'], la teoría económica es una caja,". Según la frase insuperablemente acertada de la señora Robinson, la teoría económica es una cajade herramientas. La justificación de este concepto de la teoría económica",economy,H1_economy_90,hyp_attributif
H1,none,[None],[None], el primero en verlas fue Léon,"para darse cuenta de todas sus posibilidades; en realidad, el primero en verlas fue LéonWalras (cfr. infra, Parte IV, cap. 6",economy,H1_economy_91,hyp_attributif
H1,left,"['clase', 'teoremas', 'económicos', 'clase de teoremas económicos']",[None], una clase de teoremas económicos que son normas,"vez de acuerdo con ella. Eso quiere decir que existe una clase de teoremas económicos que son normaso ideales lógicos (no, desde luego, éticos ni políticos",economy,H1_economy_92,hyp_attributif
H1,left,['ciencia'],[None], la medida en la cual la ciencia es un tema,adecuada para comunicar al lector las razones por las cuales y la medida en la cual la ciencia es un temaapropiado para la investigación sociológica. Desde luego que nuestro interés por,economy,H1_economy_93,hyp_attributif
H1,none,[None],[None], La muchacha amada es un ángel,"un partido que no sea el nuestro será un charlatán. La muchacha amada es un ángel, excepto por lo que hace a la fragilidad humana. El",economy,H1_economy_94,hyp_attributif
H1,none,[None],[None], El país enemigo es el antro,", excepto por lo que hace a la fragilidad humana. El país enemigo es el antrode los monstruos, mientras que el nuestro es hogar de héroes",economy,H1_economy_95,hyp_attributif
H1,left,"['ideologías', 'capitalista']",[None], las ideologías de la sociedad capitalista son glorificaciones,"exclusivamente como económicos. Según Marx -y por decirlo simplificadamente-, las ideologías de la sociedad capitalista son glorificacionesde lo que él llamó clase capitalista, cuyos intereses se basarían",economy,H1_economy_96,hyp_attributif
H1,left,['ideologías'],[None], las ideologías son sobrestructuras,El principio mismo no implica más que dos cosas: que las ideologías son sobrestructuraslevantadas sobre y producidas por las realidades de la estructura social objetiva,economy,H1_economy_97,hyp_attributif
H1,right,[None],['factor'], la posición social es un factor,al concepto de influencia ideológica. No hay duda de que la posición social es un factorpoderoso en la configuración de nuestra mentalidad. Pero eso no equivale,economy,H1_economy_98,hyp_attributif
H1,none,[None],[None], el mundo es víctima,"se puede decir de un modo ligeramente más realista: todo el mundo es víctimadel autoengaño ideológico, excepto el moderno intelectual radical, el cual",economy,H1_economy_99,hyp_attributif
H1,left,['risco'],[None], el risco de la verdad y es juez,"excepto el moderno intelectual radical, el cual está erguido en el risco de la verdad y es juezrecto de todas las cosas humanas. Ahora bien: si algo",economy,H1_economy_100,hyp_attributif
H1,left,['alemana'],[None], La palabra alemana es Wissenssoziologie,"término'sociología del conocimiento'del modo siguiente: "" La palabra alemana es Wissenssoziologie, y los autores más dignos de cita, Max Scheler y",economy,H1_economy_101,hyp_attributif
H1,right,[None],['factor'], las burocracias es un factor,"de las ideologías en el análisis, pues esta ideología de las burocracias es un factorimportante de la acientífica costumbre de los economistas de utilizar una teoría",economy,H1_economy_102,hyp_attributif
H1,left,"['historiadores', 'filósofos']",[None], Los historiadores y filósofos que fueron ornato,", desde luego, a la de cualquier otra época. Los historiadores y filósofos que fueron ornatode su corte no tocaron temas económicos -cuando lo hicieron- más que",economy,H1_economy_103,hyp_attributif
H1,left,['pirámide social'],[None], La base económica de esta pirámide social eran los campesinos,"propio esquema cultural en la civilización de la época feudal. La base económica de esta pirámide social eran los campesinossiervos y los artesanos del señor, de cuyo trabajo vivía éste",economy,H1_economy_104,hyp_attributif
H1,left,['feudalismo'],[None], el feudalismo es la simbiosis,"municipios lombardos. Por eso, visto como realidad histórica, el feudalismo es la simbiosisde dos sistemas sociales esencialmente diferentes y en gran parte -aunque no",economy,H1_economy_105,hyp_attributif
H1,left,['resultado'],[None], El resultado fue el nacimiento,Dante como la completa ausencia del punto de vista nacionalista. El resultado fue el nacimientode una civilización esencialmente internacional y de una república internacional de los,economy,H1_economy_106,hyp_attributif
H1,none,[None],[None], La Iglesia era juez,representar como cosa inmutable un orden temporal de las cosas. La Iglesia era juezde todas las cosas humanas; el conflicto con la autoridad temporal,economy,H1_economy_107,hyp_attributif
H1,left,['temporal'],[None], el conflicto con la autoridad temporal era una posibilidad,". La Iglesia era juez de todas las cosas humanas; el conflicto con la autoridad temporal era una posibilidadsiempre presente, y a menudo realidad; las órdenes monásticas eran",economy,H1_economy_108,hyp_attributif
H1,none,[None],[None], las órdenes monásticas eran instrumentos,"era una posibilidad siempre presente, y a menudo realidad; las órdenes monásticas eran instrumentosimportantes de la autoridad pontificia, pero eso no bastaba para impedirlas",economy,H1_economy_109,hyp_attributif
H1,right,[None],['econometría'], la perfección qué es la econometría,Todos ellos han sido económetras. Su obra ilustra realmente a la perfección qué es la econometríay qué intentan hacer los económetras. [2] 1 Aritmética,economy,H1_economy_110,hyp_attributif
H1,left,['factual'],[None], la investigación factual ha sido la tarea,"economistas de todo tipo, pero particularmente para los políticos, la investigación factual ha sido la tareaprimaria que ha absorbido la mayor parte de la capacidad de trabajo",economy,H1_economy_111,hyp_attributif
H1,left,['ciencia'],[None], la ciencia es medición,teórico. Pero era uno de esos teóricos para los cuales la ciencia es medición; uno de esos teóricos que forjan instrumentos analíticos adecuados para manejar,economy,H1_economy_112,hyp_attributif
H1,none,[None],[None], la mujer son ejemplos,del matrimonio en relación con las edades del marido y de la mujer son ejemplosal azar de un amplio campo de investigación que se iba a,economy,H1_economy_113,hyp_attributif
H1,left,['trabajo'],[None], el trabajo es el padre,"mundo conoce la frase, repetida ad nauseam de que "" el trabajo es el padre... de la riqueza, así como las tierras son su madre",economy,H1_economy_114,hyp_attributif
H1,left,['principales'],[None], las excepciones principales a esa afirmación son los Estados,"En las grandes naciones, la burguesía no gobernaba políticamente: las excepciones principales a esa afirmación son los EstadosUnidos y, durante los diecisiete años del régimen de Luis-Felipe,",economy,H1_economy_115,hyp_attributif
H1,left,['librecambio'],[None], el librecambio había de ser un necio,"todo tiempo y lugar; el que se negara a aceptar el librecambio había de ser un necioo un truhán, o ambas cosas a la vez. Pero",economy,H1_economy_116,hyp_attributif
H1,left,"['economistas', 'librecambistas']",[None], Los economistas librecambistas lo eran la mayoría,como Napoleón III- que eran liberalistas doctrinarios en esta cuestión. Los economistas librecambistas lo eran la mayoríade los franceses- conseguían escasa adhesión del público. Tampoco en los,economy,H1_economy_117,hyp_attributif
H1,left,['cátedra'],[None], La cátedra era una fundación,cátedra de economía política en el Trinity College de Dublín. La cátedra era una fundacióndel arzobispo Whately. Escribió también acerca de las leyes de pobres,economy,H1_economy_118,hyp_attributif
H1,left,['hecho'],[None], el hecho es un elemento,una seria depresión para la agricultura europea. Desde luego que el hecho es un elementoesencial del aumento del 50 por ciento del salario real de los,economy,H1_economy_119,hyp_attributif
